"outcome","month","data_status","n_years","mean_events","sd_events","mean_temp","mean_tmax","mean_tmin"
"chd",1,"HA_APPROVED_AGGREGATE",11,1386.27272727273,566.710877063268,17.0961876832844,19.5093841642229,15.2205278592376
"chd",2,"HA_APPROVED_AGGREGATE",11,1141.81818181818,425.130525411154,17.5378974473802,20.3312807881773,15.5752910882221
"chd",3,"HA_APPROVED_AGGREGATE",11,1275.27272727273,418.922210179668,20.350146627566,23.0554252199414,18.4985337243402
"chd",4,"HA_APPROVED_AGGREGATE",11,1147.27272727273,413.629324615432,23.3121212121212,26.0981818181818,21.3963636363636
"chd",5,"HA_APPROVED_AGGREGATE",11,1203.36363636364,335.615337172565,26.7533724340176,29.3363636363636,24.9196480938417
"chd",6,"HA_APPROVED_AGGREGATE",11,1159.90909090909,272.829050705915,28.990303030303,31.5784848484848,27.1021212121212
"chd",7,"HA_APPROVED_AGGREGATE",11,1144.18181818182,287.823493892287,29.482991202346,32.3193548387097,27.4709677419355
"chd",8,"HA_APPROVED_AGGREGATE",11,1156.81818181818,276.255612859474,28.9568914956012,31.7322580645161,26.9190615835777
"chd",9,"HA_APPROVED_AGGREGATE",11,1097.09090909091,232.341754553698,28.6266666666667,31.4739393939394,26.7148484848485
"chd",10,"HA_APPROVED_AGGREGATE",11,1106.36363636364,202.175306468061,26.1049853372434,28.841348973607,24.1906158357771
"chd",11,"HA_APPROVED_AGGREGATE",11,1176.90909090909,199.021332799001,22.8636363636364,25.2284848484849,21.0966666666667
"chd",12,"HA_APPROVED_AGGREGATE",11,1200.72727272727,257.119462860784,18.141348973607,20.4615835777126,16.1486803519062
"hf",1,"HA_APPROVED_AGGREGATE",11,286.909090909091,100.069430442523,17.0961876832844,19.5093841642229,15.2205278592376
"hf",2,"HA_APPROVED_AGGREGATE",11,247.454545454545,89.3693052858347,17.5378974473802,20.3312807881773,15.5752910882221
"hf",3,"HA_APPROVED_AGGREGATE",11,257.090909090909,72.6339514902701,20.350146627566,23.0554252199414,18.4985337243402
"hf",4,"HA_APPROVED_AGGREGATE",11,221.181818181818,83.9247498439146,23.3121212121212,26.0981818181818,21.3963636363636
"hf",5,"HA_APPROVED_AGGREGATE",11,223.181818181818,62.226711598506,26.7533724340176,29.3363636363636,24.9196480938417
"hf",6,"HA_APPROVED_AGGREGATE",11,206.636363636364,48.8267810269584,28.990303030303,31.5784848484848,27.1021212121212
"hf",7,"HA_APPROVED_AGGREGATE",11,209.727272727273,63.2093203714308,29.482991202346,32.3193548387097,27.4709677419355
"hf",8,"HA_APPROVED_AGGREGATE",11,201.181818181818,49.5092277900154,28.9568914956012,31.7322580645161,26.9190615835777
"hf",9,"HA_APPROVED_AGGREGATE",11,196.363636363636,38.2786434641374,28.6266666666667,31.4739393939394,26.7148484848485
"hf",10,"HA_APPROVED_AGGREGATE",11,201.363636363636,60.2798021351642,26.1049853372434,28.841348973607,24.1906158357771
"hf",11,"HA_APPROVED_AGGREGATE",11,205.909090909091,37.4445043910439,22.8636363636364,25.2284848484849,21.0966666666667
"hf",12,"HA_APPROVED_AGGREGATE",11,241.272727272727,58.2341667907954,18.141348973607,20.4615835777126,16.1486803519062
