"outcome","pathway_id","lag","acf","pacf"
"chd","P01A",1,0.534249222819339,0.534249222819339
"chd","P01A",2,0.281173449307576,-0.00594586476973363
"chd","P01A",3,0.133449975269214,-0.0202690718005098
"chd","P01A",4,0.0538928720165856,-0.0117223674290432
"chd","P01A",5,0.0337093359986782,0.0200068224226647
"chd","P01A",6,0.0648596610169103,0.0615921470572457
"chd","P01A",7,-0.128013208810019,-0.265029117073489
"chd","P01A",8,-0.137669205304033,0.0313653886592921
"chd","P01A",9,-0.0881024307756439,0.0405875300003956
"chd","P01A",10,-0.105571790964408,-0.0820720663284643
"chd","P01A",11,-0.0983162332288988,-0.0284276153900058
"chd","P01A",12,-0.186719152095499,-0.18245366329642
"chd","P02A",1,0.533481256553074,0.533481256553074
"chd","P02A",2,0.281522615478791,-0.0043047879579764
"chd","P02A",3,0.128395991773838,-0.0281541559527832
"chd","P02A",4,0.0542825075284136,-0.00350947315625249
"chd","P02A",5,0.0339874703997158,0.017901549261739
"chd","P02A",6,0.0676613948928806,0.0649046754339898
"chd","P02A",7,-0.124328836386283,-0.263730658130637
"chd","P02A",8,-0.132610416030599,0.0332469423582183
"chd","P02A",9,-0.0866109143188346,0.0398057660176964
"chd","P02A",10,-0.105368041049151,-0.0870130225089452
"chd","P02A",11,-0.0951375617106541,-0.0206965791490767
"chd","P02A",12,-0.183752462502131,-0.183167155402967
"chd","P02B",1,0.532271936635351,0.532271936635351
"chd","P02B",2,0.279884092653919,-0.00478496729972497
"chd","P02B",3,0.134032515944543,-0.018289956203885
"chd","P02B",4,0.0536064693116112,-0.0135787400236072
"chd","P02B",5,0.0326670974415124,0.0190576129028334
"chd","P02B",6,0.0640687377524388,0.0618908607942732
"chd","P02B",7,-0.128218796795299,-0.263353835192842
"chd","P02B",8,-0.141156581354147,0.024564589755006
"chd","P02B",9,-0.0869159390454229,0.0470414216849184
"chd","P02B",10,-0.103169763745209,-0.0801793184914686
"chd","P02B",11,-0.0960348095022697,-0.0291174048202744
"chd","P02B",12,-0.183406136109035,-0.180291631890607
"chd","P04A",1,0.507802854196383,0.507802854196383
"chd","P04A",2,0.255472470017067,-0.0032221423985329
"chd","P04A",3,0.119662695401789,-0.0119234710267268
"chd","P04A",4,0.0803796402984261,0.0333541056840823
"chd","P04A",5,0.0615565055176475,0.0144342444918159
"chd","P04A",6,0.0814337017812295,0.0530611206845849
"chd","P04A",7,-0.0895903928554118,-0.210741465781248
"chd","P04A",8,-0.17176051922235,-0.0819177282292912
"chd","P04A",9,-0.072196644757086,0.117284280520021
"chd","P04A",10,-0.104028279689658,-0.11934173435763
"chd","P04A",11,-0.0881641329765092,-0.00350272434683976
"chd","P04A",12,-0.163648171311788,-0.140504699360146
"chd","P04B",1,0.528209530625083,0.528209530625083
"chd","P04B",2,0.279776158155013,0.00106914783237158
"chd","P04B",3,0.132759831154668,-0.0213973206466327
"chd","P04B",4,0.0479365342509792,-0.0198041245167846
"chd","P04B",5,0.0198947867376316,0.00898239849747137
"chd","P04B",6,0.0591654167865336,0.0717082296267752
"chd","P04B",7,-0.117018768554781,-0.243380681718667
"chd","P04B",8,-0.15518170354194,-0.0211876046582179
"chd","P04B",9,-0.0981722495856976,0.0580952179081134
"chd","P04B",10,-0.104495720931344,-0.0648991140271197
"chd","P04B",11,-0.0756125827613378,-0.00193381359254393
"chd","P04B",12,-0.14006113209033,-0.155965612714108
"chd","P04C",1,0.529343497204704,0.529343497204704
"chd","P04C",2,0.279538106357653,-0.000925862568559416
"chd","P04C",3,0.133742338386135,-0.0192780521302016
"chd","P04C",4,0.0478569067208309,-0.0213940609814626
"chd","P04C",5,0.0222912008053097,0.0128365186771188
"chd","P04C",6,0.0594027766560108,0.068560605307743
"chd","P04C",7,-0.119410362510289,-0.246738544844676
"chd","P04C",8,-0.152632441206483,-0.0123222205529032
"chd","P04C",9,-0.0929772588298295,0.0601008692396007
"chd","P04C",10,-0.102318624144502,-0.0687170924752671
"chd","P04C",11,-0.0758284729724492,-0.0048082106581037
"chd","P04C",12,-0.147330689448774,-0.163665835337418
"chd","P02",1,0.537320279013384,0.537320279013384
"chd","P02",2,0.288424970692927,-0.000405056720290132
"chd","P02",3,0.133441993459446,-0.0300578069963252
"chd","P02",4,0.0623878707226824,0.00318966631538036
"chd","P02",5,0.0428335336821259,0.020611415700627
"chd","P02",6,0.0792248181509752,0.0713227564545377
"chd","P02",7,-0.10699312654462,-0.255165040891147
"chd","P02",8,-0.115155494178849,0.0370094437475383
"chd","P02",9,-0.0722899171642223,0.0439536736370175
"chd","P02",10,-0.091345481156927,-0.0831936525627532
"chd","P02",11,-0.0774344930269884,-0.00821096721782231
"chd","P02",12,-0.16551543786792,-0.17773271331972
"chd","P04",1,0.51851901990397,0.51851901990397
"chd","P04",2,0.297009307839095,0.0384979755341094
"chd","P04",3,0.12601377881566,-0.0575631741283283
"chd","P04",4,0.0923278066549807,0.0537537135812362
"chd","P04",5,0.0388073528593395,-0.0255076484266085
"chd","P04",6,0.0643614106287293,0.0592609543552196
"chd","P04",7,-0.064625091283154,-0.158429816636607
"chd","P04",8,-0.125327846033404,-0.0718358331848836
"chd","P04",9,-0.0510812480175706,0.111956237374505
"chd","P04",10,-0.0727700727442407,-0.0903926192682298
"chd","P04",11,-0.0469703004222458,0.0178351788439232
"chd","P04",12,-0.130272442100097,-0.137339135408184
