"outcome","pathway_id","exposure","exposure_label","scale","model_structure","family","offset_policy","n_months","data_status","se_method","term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","q_value_core_bh","manuscript_role"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","model","mean_temp",-0.00696915668562447,0.00822173825952778,-0.84765003039938,0.396632902836045,0.993055071570653,0.977180628105195,1.00918739771214,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","mean_temp",-0.00696915668562447,0.00964701670392403,-0.72241573737399,0.470038914181732,0.993055071570653,0.97445463867445,1.01201055034605,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_temp",-0.00696915668562447,0.00889420449893628,-0.783561552520853,0.433297423121542,0.993055071570653,0.975893519392818,1.01051841781444,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_temp",-0.00696915668562447,0.00870822142331737,-0.80029621972676,0.423539192797939,0.993055071570653,0.976249323608267,1.01015012387133,0.726067187653609,"amended_core_candidate"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","model","mean_temp",-0.00791330670521129,0.00833095208920029,-0.949868228802995,0.342179212139729,0.992117921080322,0.976049503749943,1.00845086806264,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","HC1","mean_temp",-0.00791330670521129,0.00856761309826139,-0.923630259029451,0.355678853912573,0.992117921080322,0.975596862731606,1.00891875212962,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_temp",-0.00791330670521129,0.00797365541394508,-0.992431487742969,0.320987085177573,0.992117921080322,0.976733272059425,1.00774489564932,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_temp",-0.00791330670521129,0.00777784417951421,-1.01741646175606,0.308955354165625,0.992117921080322,0.977108204483999,1.00735820742447,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","model","mean_temp",-0.00746653500844587,0.00826193100270988,-0.903727591769633,0.366139864697665,0.992561270317885,0.976617781685309,1.00876503972206,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","HC1","mean_temp",-0.00746653500844587,0.00963708894251291,-0.774770789497242,0.438475112728932,0.992561270317885,0.973989038669411,1.01148764125819,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_temp",-0.00746653500844587,0.00888759058787864,-0.840107893654454,0.400847894625759,0.992561270317885,0.97542089635995,1.01000283981153,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_temp",-0.00746653500844587,0.0086706443450116,-0.861128044392862,0.389167524920413,0.992561270317885,0.975835747795561,1.00957346311671,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","model","mean_temp",-0.00832795021031833,0.00837828518837479,-0.993992209989903,0.320226659993537,0.991706631103297,0.975554365875706,1.00812632957819,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","HC1","mean_temp",-0.00832795021031833,0.00857526106827716,-0.971159961663008,0.331468628368569,0.991706631103297,0.97517780363855,1.00851561479836,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_temp",-0.00832795021031833,0.00799906972157944,-1.04111484212366,0.297822251945265,0.991706631103297,0.976279728205865,1.00737730566384,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_temp",-0.00832795021031833,0.00777607918271062,-1.07097034567687,0.284182763574969,0.991706631103297,0.976706515704906,1.00693711607366,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE","model","mean_temp",-0.00751502974560316,0.00815650807709705,-0.921353804173245,0.356865738862968,0.992513137487073,0.976772230565538,1.00850771270809,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE","HC1","mean_temp",-0.00751502974560316,0.0097698650871192,-0.76920506870777,0.441771581884408,0.992513137487073,0.973688379622998,1.01170184290979,,"sensitivity"
