"term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","outcome","period","pathway_like","n_months","n_rows","data_status","family","aic"
"mean_tmax",-0.0101528215202887,0.0156912372881924,-0.647037664004271,0.517607567530206,0.989898544388842,0.959917777519819,1.02081568977184,"chd","full_2013_2023","P02",132,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm",1622.80576290473
"mean_tmax",-0.0111031540647825,0.00837932386178781,-1.32506563153815,0.185149384009949,0.988958258449294,0.972848776380067,1.00533449874327,"chd","pre_covid_year_lt_2020","P02",84,84,"HA_APPROVED_AGGREGATE","negbin/glm/lm",931.180868697666
"mean_tmin",0.00335809758318549,0.0173795562180285,0.193221135284341,0.846785787059556,1.00336374230962,0.969760803131332,1.03813104853365,"chd","full_2013_2023","P02",132,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm",1622.80576290473
"mean_tmin",-0.00801884402638124,0.0102608308305624,-0.781500461200146,0.434508205567592,0.992013221137619,0.972261894085347,1.01216579287787,"chd","pre_covid_year_lt_2020","P02",84,84,"HA_APPROVED_AGGREGATE","negbin/glm/lm",931.180868697666
"mean_tmax",0.016072240146088,0.0209165816098211,0.768397075865468,0.442251317087665,1.01620209334224,0.975383784984737,1.05872858500443,"hf","full_2013_2023","P02",132,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm",1224.40286083636
"mean_tmax",0.0230889083970842,0.0228033975170641,1.01252054128366,0.31128923027032,1.02335752057947,0.978625981578686,1.07013367173959,"hf","pre_covid_year_lt_2020","P02",84,84,"HA_APPROVED_AGGREGATE","negbin/glm/lm",754.077358642906
"mean_tmin",-0.0431832419138893,0.0209314236994635,-2.06308192571709,0.039104845095584,0.957735876631778,0.919239269138851,0.997844674593736,"hf","full_2013_2023","P02",132,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm",1224.40286083636
"mean_tmin",-0.0797359006182982,0.0235697016849891,-3.38298302133708,0.00071703065043084,0.923360173038772,0.881674343757019,0.967016920920133,"hf","pre_covid_year_lt_2020","P02",84,84,"HA_APPROVED_AGGREGATE","negbin/glm/lm",754.077358642906
