"term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","pathway_id","pathway_title","pollution_stage","data_status","outcome","n_rows","n_months"
"mean_temp",-0.0264928774041474,0.0130931223857307,-2.02341936656913,0.0430299291597598,0.973854980186275,0.949181355180739,0.999169987123296,"P01","Continuous same-month mean temperature","none","HA_APPROVED_AGGREGATE","hf",132,132
"mean_tmax",0.016072240146088,0.0209165816098211,0.768397075865468,0.442251317087665,1.01620209334224,0.975383784984737,1.05872858500443,"P02","Continuous same-month Tmax and Tmin","none","HA_APPROVED_AGGREGATE","hf",132,132
"mean_tmin",-0.0431832419138893,0.0209314236994635,-2.06308192571709,0.039104845095584,0.957735876631778,0.919239269138851,0.997844674593736,"P02","Continuous same-month Tmax and Tmin","none","HA_APPROVED_AGGREGATE","hf",132,132
"lag1_mean_tmax",0.0367947971597645,0.0216225811857747,1.70168384817866,0.0888146498235406,1.03748010512919,0.994430107726863,1.08239378532022,"P03","Lag-1 month temperature","none","HA_APPROVED_AGGREGATE","hf",132,132
"lag1_mean_tmin",-0.0668790935647452,0.0240956820069478,-2.77556342026182,0.00551061505926735,0.935308279290626,0.892162819222671,0.980540276349774,"P03","Lag-1 month temperature","none","HA_APPROVED_AGGREGATE","hf",132,132
"I(hot_nights/5)",0.0118667706689747,0.0199966325794521,0.593438451290472,0.55288776223802,1.01193746013385,0.973043365250263,1.05238621400885,"P04","Official extreme-day counts","none","HA_APPROVED_AGGREGATE","hf",132,132
"I(cold_days/5)",0.0703139984320239,0.0302006164417365,2.32823056998438,0.0198998637479324,1.07284500001898,1.01118285605401,1.13826731453628,"P04","Official extreme-day counts","none","HA_APPROVED_AGGREGATE","hf",132,132
"I(very_hot_days/5)",-0.0135390421488214,0.0203106440428552,-0.666598366858984,0.505028712561965,0.986552198448075,0.948050124222153,1.02661791333162,"P04","Official extreme-day counts","none","HA_APPROVED_AGGREGATE","hf",132,132
"days_in_hot_night_spell_ge5",-0.00330945126032393,0.00298192552938385,-1.10983699214238,0.267069275587099,0.996696018937384,0.990887745238311,1.00253833891821,"P05","Ren/Wang spell burden","none","HA_APPROVED_AGGREGATE","hf",132,132
"days_in_very_hot_spell_ge5",0.000186770547512924,0.00298978985209785,0.0624694566348443,0.95018898449285,1.00018678799022,0.994342844746811,1.00606507720676,"P05","Ren/Wang spell burden","none","HA_APPROVED_AGGREGATE","hf",132,132
"days_in_2d3n_window",-0.000530408970671604,0.00230344952727903,-0.230267242407588,0.817884113471286,0.999469731671299,0.994967535450142,1.00399230018612,"P06","Combined day-night 2D3N burden","none","HA_APPROVED_AGGREGATE","hf",132,132
"hw_month_mean_temp_ge_p90",-0.0418189185026156,0.0349716999473125,-1.19579312889047,0.231777297954414,0.95904342987001,0.895508603183277,1.0270859454698,"P07","Heatwave-month indicators (multi-percentile + spells)","none","HA_APPROVED_AGGREGATE","hf",132,132
"hw_month_mean_temp_ge_p95",0.214840746252508,0.0492691805326545,4.36055042787075,1.29735677732212e-05,1.2396644600343,1.12555151648883,1.36534663314754,"P07","Heatwave-month indicators (multi-percentile + spells)","none","HA_APPROVED_AGGREGATE","hf",132,132
"hw_month_mean_temp_ge_p975",-0.21361830566782,0.0577689210103071,-3.69780674334746,0.000217470350656324,0.807656604144343,0.721195237791455,0.904483496335284,"P07","Heatwave-month indicators (multi-percentile + spells)","none","HA_APPROVED_AGGREGATE","hf",132,132
"hw_month_has_vhd_spell_ge3",0.0054319355128813,0.0369978516701384,0.146817592581072,0.883275998290124,1.00544671522328,0.935116784990058,1.08106614422929,"P07","Heatwave-month indicators (multi-percentile + spells)","none","HA_APPROVED_AGGREGATE","hf",132,132
"cold_days",0.0202339839214064,0.00866826370487907,2.33426030982622,0.0195820956516481,1.02044007866633,1.00324945513001,1.03792526257949,"P08","Cold-side primary","none","HA_APPROVED_AGGREGATE","hf",132,132
"max_cold_spell_touching",-0.00932486743895789,0.0113952686226813,-0.818310453901676,0.413179938353054,0.990718474314098,0.968836323709296,1.01309485547506,"P08","Cold-side primary","none","HA_APPROVED_AGGREGATE","hf",132,132
"mean_tmax",0.0154556946221888,0.018745567852024,0.824498609174969,0.409656305735281,1.01557575159416,0.978939321584589,1.05358328599625,"P10","COVID and holiday sensitivity on P02","none","HA_APPROVED_AGGREGATE","hf",132,132
"mean_tmin",-0.0477563742299721,0.0214930923699237,-2.22194058481784,0.0262873211830021,0.953366023318539,0.914038272040472,0.994385905077244,"P10","COVID and holiday sensitivity on P02","none","HA_APPROVED_AGGREGATE","hf",132,132
"mean_tmax",0.016072240146088,0.0209165816098211,0.768397075865468,0.442251317087665,1.01620209334224,0.975383784984737,1.05872858500443,"P11","Pollution-staged on P02","none","HA_APPROVED_AGGREGATE","hf",132,132
"mean_tmin",-0.0431832419138893,0.0209314236994635,-2.06308192571709,0.039104845095584,0.957735876631778,0.919239269138851,0.997844674593736,"P11","Pollution-staged on P02","none","HA_APPROVED_AGGREGATE","hf",132,132
"mean_tmax",-0.00646345390567824,0.0178593569504442,-0.361908545957892,0.717420373484165,0.993557389282012,0.959380233096004,1.02895207941824,"P11","Pollution-staged on P02","NO2","HA_APPROVED_AGGREGATE","hf",132,132
"mean_tmin",-0.0124617491489822,0.0191445151366058,-0.650930517699788,0.515091340439782,0.987615576907682,0.951243694174674,1.02537817987531,"P11","Pollution-staged on P02","NO2","HA_APPROVED_AGGREGATE","hf",132,132
"NO2",0.0099601079465398,0.00215596153943618,4.61979852810573,3.84112846733551e-06,1.01000987491258,1.0057508966079,1.01428688839501,"P11","Pollution-staged on P02","NO2","HA_APPROVED_AGGREGATE","hf",132,132
"mean_tmax",0.00864060954302905,0.0189213261361513,0.456659828219978,0.647915569287898,1.0086780473605,0.971955565878074,1.04678797976514,"P11","Pollution-staged on P02","PM25","HA_APPROVED_AGGREGATE","hf",132,132
"mean_tmin",-0.0287423677794949,0.0203798704334415,-1.41033123215206,0.158441900505511,0.971666764888723,0.933618937503214,1.01126515761798,"P11","Pollution-staged on P02","PM25","HA_APPROVED_AGGREGATE","hf",132,132
"PM25",0.00574076317702881,0.0017656238973127,3.25140772378891,0.00114835045636137,1.00575727293571,1.00228274183516,1.00924384890729,"P11","Pollution-staged on P02","PM25","HA_APPROVED_AGGREGATE","hf",132,132
"mean_tmax",0.0105866777799847,0.02059005421036,0.514164638510663,0.607136888452094,1.01064291493286,0.970668928188051,1.05226310623812,"P11","Pollution-staged on P02","O3","HA_APPROVED_AGGREGATE","hf",132,132
"mean_tmin",-0.0369841331908247,0.0209376028886955,-1.76639768112103,0.0773291538688077,0.963691425935706,0.924944230302055,1.00406179529193,"P11","Pollution-staged on P02","O3","HA_APPROVED_AGGREGATE","hf",132,132
"O3",0.00107671685721542,0.000931206863106064,1.15625958084544,0.247574995775303,1.00107729672491,0.999251831423313,1.00290609684508,"P11","Pollution-staged on P02","O3","HA_APPROVED_AGGREGATE","hf",132,132
