"outcome","pathway_id","exposure","model_structure","exposure_rhs","offset_type","offset_label","term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","n_months","data_status","family","se_method","aic"
"chd","P02","joint_tmax_tmin","joint_exploratory","mean_tmax + mean_tmin","days_only","days_only","mean_tmax",-0.0107212456849539,0.0125470569065982,-0.854482909001215,0.39283747518578,0.989336022026443,0.965302768393324,1.0139676343291,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1621.51964312222
"chd","P02","joint_tmax_tmin","joint_exploratory","mean_tmax + mean_tmin","days_only","days_only","mean_tmin",0.00442579021767775,0.0169303238444074,0.261412023677251,0.793774785770132,1.00443559849165,0.971651921103645,1.03832540193132,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1621.51964312222
"chd","P02","joint_tmax_tmin","joint_exploratory","mean_tmax + mean_tmin","no_offset","no_offset_counts","mean_tmax",-0.0104347942655337,0.0125132256210865,-0.833901232304933,0.404336642770273,0.989619459327807,0.965643349379552,1.01419087586479,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1619.45179214719
"chd","P02","joint_tmax_tmin","joint_exploratory","mean_tmax + mean_tmin","no_offset","no_offset_counts","mean_tmin",0.0035985245491045,0.0169333952887026,0.212510514740379,0.831708775539881,1.003605007012,0.970842594699893,1.03747303177496,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1619.45179214719
"chd","P02","joint_tmax_tmin","joint_exploratory","mean_tmax + mean_tmin","pop_x_days","population_x_days","mean_tmax",-0.0101528215202887,0.012462687314804,-0.814657486289377,0.415268394917008,0.989898544388842,0.96601135647125,1.01437640625948,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1622.80576290473
"chd","P02","joint_tmax_tmin","joint_exploratory","mean_tmax + mean_tmin","pop_x_days","population_x_days","mean_tmin",0.00335809758318549,0.0169067783600122,0.198624333487925,0.842556617480143,1.00336374230962,0.970659843225499,1.03716951557013,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1622.80576290473
"chd","P01A","mean_temp","single_exposure","mean_temp","days_only","days_only","mean_temp",-0.00696915668562447,0.00870822142331737,-0.80029621972676,0.423539192797939,0.993055071570653,0.976249323608267,1.01015012387133,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1619.79540471431
"chd","P01A","mean_temp","single_exposure","mean_temp","no_offset","no_offset_counts","mean_temp",-0.00751502974560316,0.00885957312684169,-0.84823835618389,0.396305240106561,0.992513137487073,0.9754271580813,1.00989840186747,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1617.69747947234
"chd","P01A","mean_temp","single_exposure","mean_temp","pop_x_days","population_x_days","mean_temp",-0.00746653500844587,0.0086706443450116,-0.861128044392862,0.389167524920413,0.992561270317885,0.975835747795561,1.00957346311671,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1621.02784150024
"chd","P02A","mean_tmax","single_exposure","mean_tmax","days_only","days_only","mean_tmax",-0.0070872045953702,0.00714064700733007,-0.992515746555598,0.320946001953216,0.992937850414184,0.979137817383346,1.0069323820215,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1619.58571634883
