"window","n_months","months_with_any_cold","mean_cold","sd_cold","within_window_var","full_series_projection_residual_var_within_window"
"all_132",132,29,1.09848484848485,2.55283063513369,6.51694425167708,2.99134156576013
"Nov_Apr",66,29,2.1969696969697,3.26859036645508,10.683682983683,5.96487716987541
"Dec_Feb",33,27,4.27272727272727,3.53794367599958,12.5170454545455,11.8439748921173
