"outcome","pathway_id","month_id","pearson_residual","cooks_distance"
"hf","P01A","2022-02",-2.91525936295022,0.124938872997095
"hf","P01A","2020-02",-2.96422157093473,0.0671002060130871
"hf","P01A","2014-01",2.38703059513148,0.0555535870458855
"hf","P01A","2014-02",2.04201761556146,0.0515360907086586
"hf","P01A","2022-05",-2.04384527145159,0.0471120238524999
"hf","P01A","2013-04",1.47772053943856,0.0410947509385772
"hf","P01A","2021-09",2.14937324041592,0.0378262070536418
"hf","P01A","2019-12",2.15472243596988,0.037771825987481
"hf","P01A","2017-02",1.98948475200412,0.0330631043199009
"hf","P01A","2021-05",1.7401475330847,0.0320721314790743
"hf","P02A","2022-02",-2.81909688387136,0.125966398296166
"hf","P02A","2020-02",-2.95744050688079,0.066820209344962
"hf","P02A","2014-01",2.50512107132352,0.0609357395847295
"hf","P02A","2014-02",2.07602112162659,0.0544154307096093
"hf","P02A","2013-04",1.46591036278624,0.0420398746016912
"hf","P02A","2019-12",2.15434679301836,0.0393634167358478
"hf","P02A","2022-05",-1.91417855784551,0.0390676354908206
"hf","P02A","2013-02",-1.14575664596517,0.0364883395899686
"hf","P02A","2017-02",2.08799685915397,0.0352949734070087
"hf","P02A","2021-09",2.07145174014733,0.0349720569630194
"hf","P02B","2022-02",-2.91601519296949,0.111975264032231
"hf","P02B","2020-02",-2.95897944939814,0.0671473900654766
"hf","P02B","2014-01",2.28671082817199,0.0527123358524173
"hf","P02B","2014-02",2.03389233062079,0.0505635045172282
"hf","P02B","2022-05",-2.04545378252891,0.0440509365268668
"hf","P02B","2013-04",1.48806931702258,0.0411100630788572
"hf","P02B","2021-09",2.18389585128697,0.0390011347922047
"hf","P02B","2019-12",2.16119066340959,0.0376135173461759
"hf","P02B","2020-04",-1.83044946308837,0.0328188062075622
"hf","P02B","2017-02",1.93930576065899,0.0321191781440159
"hf","P04A","2020-02",-2.97759465034756,0.066445596593424
"hf","P04A","2014-02",2.42186285268199,0.0561539151634048
"hf","P04A","2014-01",2.34039642568945,0.0534869098186417
"hf","P04A","2013-04",1.73315479305196,0.0521903376282464
"hf","P04A","2013-02",-1.58715120206631,0.0507370848907726
"hf","P04A","2022-02",-2.29446403734918,0.0419303536480952
"hf","P04A","2021-09",1.85499915217492,0.0351170144265999
"hf","P04A","2017-02",2.05722563514014,0.0342533066213067
"hf","P04A","2021-01",1.97292638135573,0.0335082195437801
"hf","P04A","2021-08",1.8919254566597,0.0307450038380756
"hf","P04B","2022-02",-2.78242066954775,0.0847007289071102
"hf","P04B","2020-02",-2.9723227185588,0.0670598468612907
"hf","P04B","2019-12",2.50483141285039,0.0637791449095506
"hf","P04B","2013-04",1.80900300168335,0.0550122246074337
"hf","P04B","2014-01",2.29543727489959,0.0526166403354106
"hf","P04B","2014-02",1.75992520101018,0.0502933468709702
"hf","P04B","2023-02",1.59515718316601,0.0350301314779352
"hf","P04B","2013-02",-1.17306716536814,0.0327850942859055
"hf","P04B","2017-02",1.91220480295916,0.0315581155689338
"hf","P04B","2021-09",1.9164798844059,0.0289252682421933
"hf","P04C","2020-02",-2.98472285973274,0.0665479300099062
"hf","P04C","2014-02",2.44155322102228,0.0565778053347277
"hf","P04C","2014-01",2.3617653545003,0.0539119817979651
"hf","P04C","2013-04",1.76706272201727,0.0527134553236806
"hf","P04C","2021-09",1.9681208142044,0.0518526942720592
"hf","P04C","2013-02",-1.55969690096022,0.0474233883685658
"hf","P04C","2022-02",-2.31375389754119,0.0422379927148542
"hf","P04C","2017-02",2.06149285568467,0.0344076190330075
"hf","P04C","2021-08",1.82506298029721,0.0333492253082568
"hf","P04C","2021-01",1.95277120144435,0.0325007197327907
"hf","P02","2022-02",-2.79935720967816,0.116561654764819
"hf","P02","2020-02",-2.99726961879083,0.0650804126838389
"hf","P02","2014-01",2.11027531926622,0.0579543696864426
"hf","P02","2014-02",2.09512279062951,0.0528848221473345
"hf","P02","2013-04",1.60163799943031,0.048278188267591
"hf","P02","2022-05",-1.96363052013144,0.0391033633594292
"hf","P02","2021-09",2.22123353323765,0.0379780386273607
"hf","P02","2019-12",2.0600261265642,0.0349965787421616
"hf","P02","2020-04",-1.90588241583035,0.0342195281537817
"hf","P02","2017-02",1.87094210308175,0.0317665091673593
"hf","P04","2022-02",-2.74715599153086,0.0757672566479154
"hf","P04","2020-02",-2.99957082365101,0.0615283462444787
"hf","P04","2019-12",2.47710970890606,0.0559274268527115
"hf","P04","2013-04",1.81701974170225,0.0521216900396011
"hf","P04","2021-09",2.03857223082107,0.0494417963210217
"hf","P04","2014-01",2.28235541836087,0.0474799628595515
"hf","P04","2014-02",1.74397396219167,0.0447872992034141
"hf","P04","2020-08",-1.47350853567518,0.0414581385910101
"hf","P04","2023-02",1.58676007897114,0.0316989556383338
"hf","P04","2013-02",-1.17036842690156,0.0307381575820667
