"se_method","rr","rr_low","rr_high","count_ratio_95CI"
"model",1.02182421201542,0.994980544642884,1.04939209704415,"1.022 (0.995-1.049)"
"HC1",1.02182421201542,0.997341580679111,1.04690784029075,"1.022 (0.997-1.047)"
"NeweyWest_lag3",1.02182421201542,1.0002531783659,1.04386043738117,"1.022 (1.000-1.044)"
"NeweyWest_lag6",1.02182421201542,1.00185374479531,1.04219276085479,"1.022 (1.002-1.042)"
