path,exposure,r2_of_path_times_exposure_on_controls,share_of_interaction_surviving_controls,r2_of_residualised_product_on_controls,share_of_residualised_product_surviving,provenance
linear,mean_temp,0.9680062823327392,0.03199371766726078,0.07553437561799325,0.9244656243820067,REAL climate x ILLUSTRATIVE_ALGEBRA path
linear,mean_tmax,0.9724072707880468,0.027592729211953215,0.0633084847432066,0.9366915152567934,REAL climate x ILLUSTRATIVE_ALGEBRA path
linear,mean_tmin,0.9621273432883464,0.03787265671165363,0.08507965403732598,0.914920345962674,REAL climate x ILLUSTRATIVE_ALGEBRA path
linear,hot_nights,0.6096320360619369,0.39036796393806306,0.06973473894791693,0.9302652610520831,REAL climate x ILLUSTRATIVE_ALGEBRA path
linear,cold_days,0.41493757068955794,0.5850624293104421,0.10884028793363842,0.8911597120663616,REAL climate x ILLUSTRATIVE_ALGEBRA path
linear,very_hot_days,0.5896395974472979,0.4103604025527021,0.05880177208470738,0.9411982279152926,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded,mean_temp,0.9686136906911851,0.03138630930881492,0.1047372871358313,0.8952627128641687,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded,mean_tmax,0.9722257233272411,0.02777427667275889,0.10352754297332423,0.8964724570266758,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded,mean_tmin,0.9631800132083197,0.036819986791680304,0.10643681830356289,0.8935631816964371,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded,hot_nights,0.6717870388683849,0.32821296113161513,0.06280944353581408,0.9371905564641859,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded,cold_days,0.4756211441017725,0.5243788558982275,0.16877412325933272,0.8312258767406673,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded,very_hot_days,0.6324521782527569,0.3675478217472431,0.03459446446963188,0.9654055355303681,REAL climate x ILLUSTRATIVE_ALGEBRA path
closed_pool,mean_temp,0.9679263290842783,0.032073670915721664,0.08230286862378433,0.9176971313762157,REAL climate x ILLUSTRATIVE_ALGEBRA path
closed_pool,mean_tmax,0.9722607146602609,0.027739285339739128,0.10793050834146134,0.8920694916585387,REAL climate x ILLUSTRATIVE_ALGEBRA path
closed_pool,mean_tmin,0.9620571144286623,0.03794288557133774,0.0767449382180505,0.9232550617819495,REAL climate x ILLUSTRATIVE_ALGEBRA path
closed_pool,hot_nights,0.617948236858714,0.38205176314128597,0.0509046518574483,0.9490953481425517,REAL climate x ILLUSTRATIVE_ALGEBRA path
closed_pool,cold_days,0.4262761386129733,0.5737238613870267,0.13851354432556906,0.8614864556744309,REAL climate x ILLUSTRATIVE_ALGEBRA path
closed_pool,very_hot_days,0.5965592716175228,0.40344072838247724,0.04750562971067007,0.9524943702893299,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded_plus_covid_kink,mean_temp,0.9601881005560058,0.039811899443994214,0.13808635621809473,0.8619136437819053,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded_plus_covid_kink,mean_tmax,0.9615147538774955,0.03848524612250448,0.12542955575467918,0.8745704442453208,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded_plus_covid_kink,mean_tmin,0.9560817378432434,0.04391826215675665,0.14457512886409418,0.8554248711359058,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded_plus_covid_kink,hot_nights,0.672062933289781,0.32793706671021905,0.24358760767294785,0.7564123923270522,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded_plus_covid_kink,cold_days,0.46606731123725653,0.5339326887627435,0.1480030108102448,0.8519969891897552,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded_plus_covid_kink,very_hot_days,0.6327061523064851,0.3672938476935149,0.19639565529515546,0.8036043447048445,REAL climate x ILLUSTRATIVE_ALGEBRA path
covid_kink_0p10_only,mean_temp,0.24072772632569428,0.7592722736743057,0.12951391324514416,0.8704860867548558,REAL climate x ILLUSTRATIVE_ALGEBRA path
covid_kink_0p10_only,mean_tmax,0.24112976053449597,0.758870239465504,0.1162839230381284,0.8837160769618716,REAL climate x ILLUSTRATIVE_ALGEBRA path
covid_kink_0p10_only,mean_tmin,0.2401797722220781,0.7598202277779219,0.13358297486238147,0.8664170251376185,REAL climate x ILLUSTRATIVE_ALGEBRA path
covid_kink_0p10_only,hot_nights,0.10372045749710268,0.8962795425028973,0.26512594289085134,0.7348740571091487,REAL climate x ILLUSTRATIVE_ALGEBRA path
covid_kink_0p10_only,cold_days,0.16778186390778083,0.8322181360922192,0.12907441215261684,0.8709255878473832,REAL climate x ILLUSTRATIVE_ALGEBRA path
covid_kink_0p10_only,very_hot_days,0.10372045749710268,0.8962795425028973,0.2090191383381127,0.7909808616618873,REAL climate x ILLUSTRATIVE_ALGEBRA path
