outcome,pathway_id,exposure,n_windows,spearman_fatness_vs_log_rr,spearman_fatness_vs_abs_log_rr,min_rr,max_rr,rr_range_width,provenance
chd,P01A,mean_temp,4,-0.7999999999999999,0.7999999999999999,0.980100642336755,0.996293755366283,0.016193113029527972,HA_APPROVED_AGGREGATE
chd,P02A,mean_tmax,4,-0.7999999999999999,0.7999999999999999,0.982387908106827,0.995064016197046,0.012676108090219018,HA_APPROVED_AGGREGATE
chd,P02B,mean_tmin,4,-0.7999999999999999,0.7999999999999999,0.981724018348483,0.997530807200732,0.015806788852248954,HA_APPROVED_AGGREGATE
chd,P04A,hot_nights,4,-0.19999999999999998,-0.19999999999999998,1.0109822438503,1.02182421201542,0.010841968165119953,HA_APPROVED_AGGREGATE
chd,P04B,cold_days,4,0.7999999999999999,0.19999999999999998,0.98935457579517,1.03638701985241,0.04703244405724005,HA_APPROVED_AGGREGATE
chd,P04C,very_hot_days,4,0.7999999999999999,-0.7999999999999999,0.992662221700863,0.999390162221515,0.006727940520651954,HA_APPROVED_AGGREGATE
hf,P01A,mean_temp,4,-1.0,1.0,0.944599342078092,0.984955802251115,0.04035646017302297,HA_APPROVED_AGGREGATE
hf,P02A,mean_tmax,4,-1.0,1.0,0.957732863585589,0.990205461125028,0.032472597539439096,HA_APPROVED_AGGREGATE
hf,P02B,mean_tmin,4,-1.0,1.0,0.943850398478869,0.982785525151286,0.03893512667241705,HA_APPROVED_AGGREGATE
hf,P04A,hot_nights,4,-0.7999999999999999,0.39999999999999997,0.965323876672949,1.00693884464723,0.04161496797428099,HA_APPROVED_AGGREGATE
hf,P04B,cold_days,4,1.0,1.0,1.04289295509967,1.11283089052394,0.06993793542426996,HA_APPROVED_AGGREGATE
hf,P04C,very_hot_days,4,0.19999999999999998,-0.19999999999999998,0.988417784350187,0.995333207231149,0.00691542288096203,HA_APPROVED_AGGREGATE
