outcome,pathway_id,exposure,scenario,window,n_months,mean_monthly_events_in_window,rr,rr_low,rr_high,log_rr,p_value_nw6,provenance
hf,P02B,mean_tmin,baseline_ns4,2013-2023,132,224.8560606060606,0.973095334250664,0.946867504573631,1.00004966372439,-0.027273221893194425,0.0504136413025569,HA_APPROVED_AGGREGATE
hf,P02B,mean_tmin,drop_first_12_months,2014-2023,120,211.20833333333334,0.97594275182835,0.948871948949829,1.00378587005384,-0.024351350202945758,0.0897510161588017,HA_APPROVED_AGGREGATE
hf,P02B,mean_tmin,drop_first_24_months,2015-2023,108,200.64814814814815,0.982785525151286,0.953522332639959,1.0129467925232,-0.017364366616868247,0.260202538523374,HA_APPROVED_AGGREGATE
hf,P02B,mean_tmin,pre_covid,2013-2019,84,252.02380952380952,0.943850398478869,0.926775375831481,0.961240013427706,-0.057787601582953034,5.50331896360154e-10,HA_APPROVED_AGGREGATE
hf,P04A,hot_nights,baseline_ns4,2013-2023,132,224.8560606060606,1.0031093510209,0.975920119210477,1.03105607754004,0.0031045269861724434,0.824752454236862,HA_APPROVED_AGGREGATE
hf,P04A,hot_nights,drop_first_12_months,2014-2023,120,211.20833333333334,1.00693884464723,0.976827716506424,1.03797816106791,0.006914881651187111,0.655295843912376,HA_APPROVED_AGGREGATE
hf,P04A,hot_nights,drop_first_24_months,2015-2023,108,200.64814814814815,1.00344945249496,0.973696759563518,1.03411128138477,0.0034435167797643392,0.822572602779244,HA_APPROVED_AGGREGATE
hf,P04A,hot_nights,pre_covid,2013-2019,84,252.02380952380952,0.965323876672949,0.93730600762633,0.994179253405986,-0.035291610456833704,0.0188506209972053,HA_APPROVED_AGGREGATE
hf,P04B,cold_days,baseline_ns4,2013-2023,132,224.8560606060606,1.07280014928024,1.00645431800469,1.14351952165835,0.07027219213543381,0.0309646706542344,HA_APPROVED_AGGREGATE
hf,P04B,cold_days,drop_first_12_months,2014-2023,120,211.20833333333334,1.06667723793865,0.995110739341851,1.14339066493137,0.06454843165594619,0.068503934791973,HA_APPROVED_AGGREGATE
hf,P04B,cold_days,drop_first_24_months,2015-2023,108,200.64814814814815,1.04289295509967,0.965133127767839,1.12691781527797,0.04199853901594327,0.288088512760822,HA_APPROVED_AGGREGATE
hf,P04B,cold_days,pre_covid,2013-2019,84,252.02380952380952,1.11283089052394,1.05303734075742,1.17601963669547,0.10690712051925869,0.000148225555054209,HA_APPROVED_AGGREGATE
hf,P04C,very_hot_days,baseline_ns4,2013-2023,132,224.8560606060606,0.995011171062262,0.963033380355518,1.02805079318559,-0.005001314688315534,0.76411154706375,HA_APPROVED_AGGREGATE
hf,P04C,very_hot_days,drop_first_12_months,2014-2023,120,211.20833333333334,0.995333207231149,0.963149117447028,1.02859274381418,-0.0046777162445393265,0.78029654923681,HA_APPROVED_AGGREGATE
hf,P04C,very_hot_days,drop_first_24_months,2015-2023,108,200.64814814814815,0.988417784350187,0.957139257943346,1.02071846736179,-0.01164981195975873,0.477656582382078,HA_APPROVED_AGGREGATE
hf,P04C,very_hot_days,pre_covid,2013-2019,84,252.02380952380952,0.990318568348303,0.960465543352706,1.0210994799376,-0.00972860140517305,0.533307712039145,HA_APPROVED_AGGREGATE
