"outcome","outcome_label","pathway_id","contrast","baseline_rr","exposure.x","trend_depletion_rr_min","trend_depletion_rr_max","scenarios_fitted","exposure.y","offset_rr_min","offset_rr_max","offsets_fitted","exposure","lag_rr_min","lag_rr_max","lags_fitted","influence_rr","excluded_month","max_cooks_distance"
"chd","Coronary heart disease","P01A","Mean temperature, per 1 C",0.993055071570653,"mean_temp",0.980100642336755,0.996293755366283,9,"mean_temp",0.992513137487073,0.993055071570653,3,"mean_temp",0.993055071570653,0.998541975492822,3,0.994827497617787,"2020-02",0.111708026020505
"chd","Coronary heart disease","P02A","Mean maximum temperature, per 1 C",0.992937850414184,"mean_tmax",0.982387908106827,0.995064016197046,9,"mean_tmax",0.99254832905271,0.992937850414184,3,"mean_tmax",0.992937850414184,0.998929156054956,3,0.994397293817203,"2020-02",0.11139851047745
"chd","Coronary heart disease","P02B","Mean minimum temperature, per 1 C",0.994170681340187,"mean_tmin",0.981724018348483,0.997530807200732,9,"mean_tmin",0.993623102910448,0.994170681340187,3,"mean_tmin",0.994170681340187,0.996534019898387,3,0.996094421504915,"2020-02",0.112381062931407
"chd","Coronary heart disease","P04A","Hot nights, per 5 days",1.02182421201542,"hot_nights",1.01088238080681,1.02464784910213,9,"hot_nights",1.02146047877249,1.02182421201542,3,"hot_nights",1.00992865369871,1.02182421201542,3,1.02066799640419,"2020-02",0.110171404277497
"chd","Coronary heart disease","P04B","Cold days, per 5 days",0.994631216608471,"cold_days",0.988555569398595,1.03638701985241,9,"cold_days",0.994631216608471,0.996835290730372,3,"cold_days",0.994631216608471,1.02565922685694,3,0.990357036548218,"2020-02",0.112496576689118
"chd","Coronary heart disease","P04C","Very hot days, per 5 days",0.999390162221515,"very_hot_days",0.992662221700863,1.00586622486406,9,"very_hot_days",0.999377630965017,0.999426346409059,3,"very_hot_days",0.999390162221515,1.02101553097051,3,0.998759764814188,"2020-02",0.109267600415086
"hf","Heart failure","P01A","Mean temperature, per 1 C",0.974329693816984,"mean_temp",0.944599342078092,0.984955802251115,9,"mean_temp",0.973784662855624,0.974329693816984,3,"mean_temp",0.972572319786136,0.998285830184428,3,0.965949366821056,"2022-02",0.124938872997095
"hf","Heart failure","P02A","Mean maximum temperature, per 1 C",0.981133749009481,"mean_tmax",0.957732863585589,0.990205461125028,9,"mean_tmax",0.980750526936355,0.981133749009481,3,"mean_tmax",0.981133749009481,0.998097152966524,3,0.973170747095637,"2022-02",0.125966398296166
"hf","Heart failure","P02B","Mean minimum temperature, per 1 C",0.973095334250664,"mean_tmin",0.943850398478869,0.982785525151286,9,"mean_tmin",0.972541103758858,0.973095334250664,3,"mean_tmin",0.969583843569403,0.997010622323645,3,0.96600601472337,"2022-02",0.111975264032231
"hf","Heart failure","P04A","Hot nights, per 5 days",1.0031093510209,"hot_nights",0.965323876672949,1.00693884464723,9,"hot_nights",1.0027581367516,1.0031093510209,3,"hot_nights",0.997006941315424,1.01223901025132,3,1.00172723385873,"2020-02",0.066445596593424
"hf","Heart failure","P04B","Cold days, per 5 days",1.07280014928024,"cold_days",1.04289295509967,1.11283089052394,9,"cold_days",1.07280014928024,1.07511661426697,3,"cold_days",1.05348893684114,1.07305144280941,3,1.08755729434557,"2022-02",0.0847007289071102
"hf","Heart failure","P04C","Very hot days, per 5 days",0.995011171062262,"very_hot_days",0.988417784350187,0.997244696157753,9,"very_hot_days",0.994977095319922,0.99502979837336,3,"very_hot_days",0.995011171062262,1.0177135689084,3,0.994282250330093,"2020-02",0.0665479300099062
