Station:  
Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available

YEAR,POLLUTANT,STATION,Month 01,Month 02,Month 03,Month 04,Month 05,Month 06,Month 07,Month 08,Month 09,Month 10,Month 11,Month 12
2013,Fine Suspended Particulates ,CAUSEWAY BAY,61,41,45,50,34,31,28,35,N.A.,54,44,74
2013,Fine Suspended Particulates ,CENTRAL,50,32,36,41,26,20,18,24,31,51,38,N.A.
2013,Fine Suspended Particulates ,MONG KOK,56,31,35,41,21,17,16,23,29,44,32,55
2013,Nitrogen Dioxide,CAUSEWAY BAY,151,121,127,110,112,98,90,110,107,144,123,161
2013,Nitrogen Dioxide,CENTRAL,145,117,132,137,111,94,86,101,108,159,124,155
2013,Nitrogen Dioxide,MONG KOK,133,118,133,132,107,90,88,99,107,148,112,127
2013,Ozone,CAUSEWAY BAY,14,14,13,16,11,7,5,7,16,30,20,14
2013,Ozone,CENTRAL,16,22,18,23,15,9,6,10,18,29,23,15
2013,Ozone,MONG KOK,11,9,9,13,7,7,5,7,14,27,18,22
2013,Respirable Suspended Particulates,CAUSEWAY BAY,84,58,69,66,47,44,39,50,62,84,69,98
2013,Respirable Suspended Particulates,CENTRAL,79,52,60,64,39,36,28,37,47,81,65,87
2013,Respirable Suspended Particulates,MONG KOK,73,44,53,60,33,28,26,36,46,70,58,78
2014,Fine Suspended Particulates ,CAUSEWAY BAY,60,36,47,43,27,31,29,23,35,40,37,46
2014,Fine Suspended Particulates ,CENTRAL,47,30,40,32,17,19,16,12,23,35,32,38
2014,Fine Suspended Particulates ,MONG KOK,44,27,N.A.,37,20,24,21,18,29,42,39,43
2014,Nitrogen Dioxide,CAUSEWAY BAY,156,107,119,110,93,104,94,88,108,66,79,114
2014,Nitrogen Dioxide,CENTRAL,145,102,105,111,81,85,83,81,102,98,127,129
2014,Nitrogen Dioxide,MONG KOK,137,101,109,124,91,91,87,83,98,86,95,101
2014,Ozone,CAUSEWAY BAY,20,15,18,27,14,13,8,8,12,66,34,22
2014,Ozone,CENTRAL,28,21,24,31,18,15,14,15,22,62,20,21
2014,Ozone,MONG KOK,23,13,13,16,9,12,8,8,16,57,23,21
2014,Respirable Suspended Particulates,CAUSEWAY BAY,87,51,69,62,40,46,43,37,52,64,57,70
2014,Respirable Suspended Particulates,CENTRAL,78,47,65,51,28,33,27,21,36,54,48,58
2014,Respirable Suspended Particulates,MONG KOK,71,45,58,54,32,36,33,28,42,63,56,63
2015,Fine Suspended Particulates ,CAUSEWAY BAY,53,62,44,34,25,18,27,36,33,40,32,37
2015,Fine Suspended Particulates ,CENTRAL,41,45,29,19,12,9,16,23,20,27,19,26
2015,Fine Suspended Particulates ,MONG KOK,50,54,37,27,19,13,20,25,25,29,29,31
2015,Nitrogen Dioxide,CAUSEWAY BAY,137,125,108,117,91,77,99,122,111,105,81,95
2015,Nitrogen Dioxide,CENTRAL,125,107,97,103,78,66,88,106,87,102,77,79
2015,Nitrogen Dioxide,MONG KOK,120,117,103,109,89,76,91,103,91,99,85,78
2015,Ozone,CAUSEWAY BAY,27,27,20,17,12,8,12,6,18,25,27,14
2015,Ozone,CENTRAL,30,30,21,19,14,11,17,12,30,32,32,17
2015,Ozone,MONG KOK,22,20,15,16,9,5,15,10,24,30,22,16
2015,Respirable Suspended Particulates,CAUSEWAY BAY,79,89,64,54,40,31,43,52,51,59,50,53
2015,Respirable Suspended Particulates,CENTRAL,63,69,46,35,24,19,28,33,27,33,30,40
2015,Respirable Suspended Particulates,MONG KOK,71,77,54,41,30,23,32,36,38,44,41,41
2016,Fine Suspended Particulates ,CAUSEWAY BAY,33,35,37,35,30,21,23,29,33,28,33,43
2016,Fine Suspended Particulates ,CENTRAL,25,27,27,21,17,9,14,16,19,14,20,32
2016,Fine Suspended Particulates ,MONG KOK,31,31,37,29,24,13,17,22,26,23,27,38
2016,Nitrogen Dioxide,CAUSEWAY BAY,89,94,99,86,79,74,77,91,106,84,88,105
2016,Nitrogen Dioxide,CENTRAL,74,81,84,76,70,63,65,84,88,72,79,102
