Station:  
Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available

YEAR,POLLUTANT,STATION,Month 01,Month 02,Month 03,Month 04,Month 05,Month 06,Month 07,Month 08,Month 09,Month 10,Month 11,Month 12
2013,Fine Suspended Particulates ,CENTRAL/WESTERN,55,35,40,37,18,14,10,17,25,48,36,65
2013,Fine Suspended Particulates ,EASTERN,41,26,28,33,17,13,9,16,25,47,33,53
2013,Fine Suspended Particulates ,KWAI CHUNG,57,29,31,38,20,15,11,19,23,48,34,62
2013,Fine Suspended Particulates ,KWUN TONG,43,25,29,34,19,18,13,23,28,53,40,65
2013,Fine Suspended Particulates ,SHAM SHUI PO,45,27,31,35,20,16,13,21,26,45,33,61
2013,Fine Suspended Particulates ,SHATIN,51,24,28,32,15,10,7,13,20,47,32,63
2013,Fine Suspended Particulates ,TAI PO,51,23,30,34,16,12,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
2013,Fine Suspended Particulates ,TAP MUN,43,24,29,32,16,11,7,12,22,48,39,67
2013,Fine Suspended Particulates ,TSUEN WAN,47,27,30,34,20,17,13,20,25,51,34,55
2013,Fine Suspended Particulates ,TUNG CHUNG,50,25,23,27,13,8,6,12,20,44,28,53
2013,Fine Suspended Particulates ,YUEN LONG,50,27,29,32,21,16,12,21,32,65,48,85
2013,Nitrogen Dioxide,CENTRAL/WESTERN,79,66,75,68,53,37,33,42,49,61,59,76
2013,Nitrogen Dioxide,EASTERN,79,64,76,70,56,40,39,43,51,61,55,65
2013,Nitrogen Dioxide,KWAI CHUNG,84,68,80,76,61,54,46,59,54,86,68,90
2013,Nitrogen Dioxide,KWUN TONG,72,55,68,63,60,52,42,60,46,61,51,70
2013,Nitrogen Dioxide,SHAM SHUI PO,93,76,87,85,68,53,50,60,62,77,69,83
2013,Nitrogen Dioxide,SHATIN,64,41,57,49,44,34,31,40,33,55,45,69
2013,Nitrogen Dioxide,TAI PO,62,41,63,58,51,38,39,48,43,62,54,69
2013,Nitrogen Dioxide,TAP MUN,18,10,16,14,13,8,6,10,7,9,9,14
2013,Nitrogen Dioxide,TSUEN WAN,82,67,73,71,60,46,43,52,49,68,57,84
2013,Nitrogen Dioxide,TUNG CHUNG,71,54,55,49,38,24,19,28,36,61,59,86
2013,Nitrogen Dioxide,YUEN LONG,76,54,63,56,45,37,34,43,46,64,57,74
2013,Ozone,CENTRAL/WESTERN,37,32,35,49,31,25,19,30,47,89,50,48
2013,Ozone,EASTERN,38,33,32,44,32,26,21,29,42,72,47,46
2013,Ozone,KWAI CHUNG,31,31,28,37,20,11,10,14,36,61,41,40
2013,Ozone,KWUN TONG,47,44,43,55,31,23,19,21,52,86,57,52
2013,Ozone,SHAM SHUI PO,24,24,27,34,22,20,15,20,36,69,43,43
2013,Ozone,SHATIN,47,49,43,59,38,30,23,30,60,86,59,49
2013,Ozone,TAI PO,51,46,40,57,37,21,19,30,56,96,67,47
2013,Ozone,TAP MUN,78,73,73,85,55,51,47,53,79,125,88,90
2013,Ozone,TSUEN WAN,28,26,30,40,21,20,16,21,43,70,40,39
2013,Ozone,TUNG CHUNG,34,34,41,54,36,36,31,39,54,87,44,38
2013,Ozone,YUEN LONG,31,35,32,39,26,22,19,30,45,78,46,41
2013,Respirable Suspended Particulates,CENTRAL/WESTERN,78,50,60,52,27,22,17,24,38,72,60,87
2013,Respirable Suspended Particulates,EASTERN,58,39,49,49,26,21,16,26,37,71,56,72
2013,Respirable Suspended Particulates,KWAI CHUNG,75,42,48,52,32,24,18,30,35,68,53,79
2013,Respirable Suspended Particulates,KWUN TONG,65,39,49,51,29,29,24,37,44,85,72,95
2013,Respirable Suspended Particulates,SHAM SHUI PO,66,40,50,52,29,25,20,31,38,68,58,82
2013,Respirable Suspended Particulates,SHATIN,70,36,43,46,24,18,14,23,33,69,53,80
2013,Respirable Suspended Particulates,TAI PO,69,33,48,47,25,21,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
2013,Respirable Suspended Particulates,TAP MUN,62,38,46,45,24,22,18,30,45,86,71,94
2013,Respirable Suspended Particulates,TSUEN WAN,64,38,44,46,29,29,24,35,39,77,56,77
2013,Respirable Suspended Particulates,TUNG CHUNG,78,41,41,42,21,16,12,21,33,72,52,74
2013,Respirable Suspended Particulates,YUEN LONG,79,41,46,46,32,29,24,38,51,97,76,112
2014,Fine Suspended Particulates ,CENTRAL/WESTERN,53,31,38,29,13,16,14,11,21,38,34,40
2014,Fine Suspended Particulates ,EASTERN,43,24,30,N.A.,N.A.,15,13,9,20,35,31,35
2014,Fine Suspended Particulates ,KWAI CHUNG,52,27,33,27,17,20,18,15,25,38,32,37
2014,Fine Suspended Particulates ,KWUN TONG,57,32,39,33,18,21,19,14,23,42,36,39
2014,Fine Suspended Particulates ,SHAM SHUI PO,53,30,36,38,24,27,25,22,31,46,32,36
2014,Fine Suspended Particulates ,SHATIN,50,24,29,24,12,15,14,10,21,36,31,39
2014,Fine Suspended Particulates ,TAI PO,52,28,32,27,12,15,17,10,22,37,32,38
2014,Fine Suspended Particulates ,TAP MUN,54,27,31,27,13,15,15,11,23,32,35,39
2014,Fine Suspended Particulates ,TSUEN WAN,46,26,33,28,16,20,19,14,25,38,32,35
2014,Fine Suspended Particulates ,TUEN MUN,66,36,37,30,11,18,17,11,26,48,N.A.,N.A.
2014,Fine Suspended Particulates ,TUNG CHUNG,50,25,27,22,9,13,12,8,19,33,32,41
2014,Fine Suspended Particulates ,YUEN LONG,65,34,37,32,15,21,19,13,26,47,45,59
2014,Nitrogen Dioxide,CENTRAL/WESTERN,74,56,62,59,35,34,32,29,39,38,43,50
2014,Nitrogen Dioxide,EASTERN,69,54,62,61,42,41,41,39,47,52,53,57
2014,Nitrogen Dioxide,KWAI CHUNG,88,60,64,69,57,64,62,54,72,78,68,73
2014,Nitrogen Dioxide,KWUN TONG,69,51,53,48,54,57,60,57,55,46,45,53
2014,Nitrogen Dioxide,SHAM SHUI PO,91,65,73,75,56,53,51,48,56,71,70,71
2014,Nitrogen Dioxide,SHATIN,63,37,39,37,40,42,44,42,47,46,40,51
2014,Nitrogen Dioxide,TAI PO,66,42,45,43,39,39,39,35,44,47,47,52
2014,Nitrogen Dioxide,TAP MUN,13,8,12,10,10,8,9,10,9,9,10,15
2014,Nitrogen Dioxide,TSUEN WAN,83,55,63,59,46,48,49,46,56,59,58,63
2014,Nitrogen Dioxide,TUEN MUN,88,56,60,63,40,41,39,37,46,55,N.A.,N.A.
2014,Nitrogen Dioxide,TUNG CHUNG,83,52,51,50,25,27,27,22,38,46,53,66
2014,Nitrogen Dioxide,YUEN LONG,78,46,56,53,39,41,42,39,49,55,58,67
2014,Ozone,CENTRAL/WESTERN,56,33,36,52,34,42,32,28,45,90,37,30
2014,Ozone,EASTERN,51,31,32,48,36,42,30,27,43,80,46,42
2014,Ozone,KWAI CHUNG,48,34,37,45,21,25,15,12,26,71,49,44
2014,Ozone,KWUN TONG,61,39,44,61,28,30,20,16,40,93,61,53
2014,Ozone,SHAM SHUI PO,44,29,30,43,24,29,21,17,36,72,40,38
2014,Ozone,SHATIN,61,48,54,68,38,39,30,24,44,91,60,52
2014,Ozone,TAI PO,51,47,50,60,38,43,39,38,53,87,60,58
2014,Ozone,TAP MUN,97,68,74,88,54,55,50,39,68,110,86,79
