Station:  
Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available

YEAR,POLLUTANT,STATION,Month 01,Month 02,Month 03,Month 04,Month 05,Month 06,Month 07,Month 08,Month 09,Month 10,Month 11,Month 12
2018,Fine Suspended Particulates ,CAUSEWAY BAY,36,42,36,34,21,22,19,27,29,32,30,31
2018,Fine Suspended Particulates ,CENTRAL,27,31,25,25,12,11,7,17,22,25,23,27
2018,Fine Suspended Particulates ,MONG KOK,33,35,29,27,15,14,13,22,21,28,23,28
2018,Nitrogen Dioxide,CAUSEWAY BAY,98,101,100,91,75,80,61,91,91,101,81,76
2018,Nitrogen Dioxide,CENTRAL,81,91,88,67,61,78,56,86,86,103,83,77
2018,Nitrogen Dioxide,MONG KOK,83,87,89,79,73,73,55,85,81,90,78,72
2018,Ozone,CAUSEWAY BAY,20,17,27,24,18,20,11,13,15,39,26,17
2018,Ozone,CENTRAL,31,25,33,20,19,26,15,18,21,46,33,19
2018,Ozone,MONG KOK,29,27,33,30,18,23,12,19,26,55,33,19
2018,Respirable Suspended Particulates,CAUSEWAY BAY,53,61,55,56,33,33,32,38,42,51,46,50
2018,Respirable Suspended Particulates,CENTRAL,41,47,41,43,19,19,14,24,31,40,38,45
2018,Respirable Suspended Particulates,MONG KOK,46,50,44,44,23,21,20,29,30,42,35,41
2019,Fine Suspended Particulates ,CAUSEWAY BAY,42,29,25,26,24,17,20,21,28,33,30,34
2019,Fine Suspended Particulates ,CENTRAL,38,22,22,21,19,14,16,18,24,30,30,29
2019,Fine Suspended Particulates ,MONG KOK,37,24,24,22,20,12,16,18,24,29,28,30
2019,Nitrogen Dioxide,CAUSEWAY BAY,91,68,77,76,71,68,66,77,98,96,87,93
2019,Nitrogen Dioxide,CENTRAL,95,69,78,71,71,65,64,74,96,91,89,94
2019,Nitrogen Dioxide,MONG KOK,94,70,77,79,77,69,69,77,87,85,71,81
2019,Ozone,CAUSEWAY BAY,22,22,30,27,33,16,17,21,35,47,49,26
2019,Ozone,CENTRAL,25,26,33,31,41,21,20,28,47,62,62,35
2019,Ozone,MONG KOK,24,22,29,25,31,15,13,21,49,55,63,33
