month_id,year,month,mean_temp,mean_tmin,mean_tmax,hot_nights,cold_days,very_hot_days,extremely_hot_days,days_in_2d3n_window,station
2013-01,2013,1,16.7032258064516,14.7774193548387,19.1225806451613,0,3,0,0,0,HKO
2013-02,2013,2,19.0678571428571,17.1428571428571,22.0535714285714,0,1,0,0,0,HKO
2013-03,2013,3,20.5516129032258,18.4709677419355,23.4967741935484,0,0,0,0,0,HKO
2013-04,2013,4,21.53,19.66,23.9166666666667,0,0,0,0,0,HKO
2013-05,2013,5,25.7290322580645,23.9483870967742,28.1516129032258,1,0,1,0,0,HKO
2013-06,2013,6,28.1466666666667,26.4533333333333,30.7433333333333,6,0,5,0,0,HKO
2013-07,2013,7,27.9612903225806,26.1032258064516,30.9387096774194,1,0,5,0,0,HKO
2013-08,2013,8,28.6064516129032,26.5290322580645,31.1322580645161,1,0,5,0,0,HKO
2013-09,2013,9,27.5166666666667,25.6866666666667,30.2533333333333,1,0,1,0,0,HKO
2013-10,2013,10,25.6483870967742,23.6838709677419,28.6,0,0,0,0,0,HKO
2013-11,2013,11,21.6966666666667,19.7466666666667,23.8466666666667,0,0,0,0,0,HKO
2013-12,2013,12,16.1096774193548,14,18.5677419354839,0,10,0,0,0,HKO
2014-01,2014,1,16.3193548387097,14.1161290322581,19.2032258064516,0,6,0,0,0,HKO
2014-02,2014,2,15.4714285714286,13.5142857142857,17.8857142857143,0,9,0,0,0,HKO
2014-03,2014,3,18.6903225806452,17.0032258064516,20.9,0,0,0,0,0,HKO
2014-04,2014,4,22.5833333333333,21.0333333333333,24.8666666666667,0,0,0,0,0,HKO
2014-05,2014,5,26.3903225806452,24.6161290322581,28.5612903225806,3,0,0,0,0,HKO
2014-06,2014,6,29.01,27.0266666666667,31.4833333333333,8,0,5,0,1,HKO
2014-07,2014,7,29.7806451612903,27.6193548387097,32.5903225806452,13,0,15,0,17,HKO
2014-08,2014,8,29.0225806451613,26.7709677419355,31.9741935483871,6,0,6,0,5,HKO
2014-09,2014,9,28.9866666666667,27.0266666666667,31.9966666666667,4,0,7,0,8,HKO
2014-10,2014,10,26.2451612903226,24.3322580645161,28.9032258064516,0,0,0,0,0,HKO
2014-11,2014,11,22.6433333333333,21.17,24.56,0,0,0,0,0,HKO
2014-12,2014,12,16.3387096774194,14.1741935483871,18.4870967741935,0,6,0,0,0,HKO
2015-01,2015,1,16.4483870967742,14.5161290322581,18.9322580645161,0,4,0,0,0,HKO
2015-02,2015,2,17.475,15.9107142857143,19.5071428571429,0,1,0,0,0,HKO
2015-03,2015,3,19.8967741935484,18.4709677419355,21.9806451612903,0,0,0,0,0,HKO
2015-04,2015,4,23.6066666666667,21.39,26.69,0,0,0,0,0,HKO
2015-05,2015,5,27.4516129032258,25.5290322580645,29.8838709677419,2,0,0,0,0,HKO
2015-06,2015,6,29.6666666666667,27.6633333333333,32.3166666666667,13,0,10,0,15,HKO
2015-07,2015,7,29.141935483871,27.2290322580645,31.8258064516129,12,0,6,0,12,HKO
2015-08,2015,8,29.3,27.1677419354839,32.0967741935484,8,0,12,1,10,HKO
2015-09,2015,9,28.4033333333333,26.6466666666667,31.0566666666667,2,0,0,0,0,HKO
2015-10,2015,10,26.0161290322581,24.2,28.5387096774194,0,0,0,0,0,HKO
2015-11,2015,11,24.0233333333333,22.4133333333333,26.0533333333333,0,0,0,0,0,HKO
2015-12,2015,12,18.5677419354839,17.0741935483871,20.2516129032258,0,2,0,0,0,HKO
2016-01,2016,1,16.0258064516129,14.4322580645161,17.8064516129032,0,7,0,0,0,HKO
2016-02,2016,2,15.4586206896552,13.351724137931,18.2172413793103,0,10,0,0,0,HKO
2016-03,2016,3,17.5161290322581,15.6516129032258,19.9903225806452,0,3,0,0,0,HKO
2016-04,2016,4,23.5733333333333,21.8533333333333,26.01,0,0,0,0,0,HKO
2016-05,2016,5,26.7322580645161,24.9161290322581,29.1032258064516,2,0,0,0,1,HKO
2016-06,2016,6,29.37,27.47,32.3733333333333,15,0,13,4,17,HKO
