month_id,mean_temp,mean_tmax,mean_tmin,lag1_mean_temp,lag1_mean_tmax,lag1_mean_tmin,hot_nights,cold_days,very_hot_days,NO2,O3,PM25,flu_indicator,covid_phase
2013-01,16.7032258064516,19.1225806451613,14.7774193548387,17.8451612903226,19.7193548387097,15.9483870967742,0,3,0,70.9090909090909,40.5454545454545,48.4545454545455,,pre_covid
2013-02,19.0678571428571,22.0535714285714,17.1428571428571,16.7032258064516,19.1225806451613,14.7774193548387,0,1,0,54.1818181818182,38.8181818181818,26.5454545454545,,pre_covid
2013-03,20.5516129032258,23.4967741935484,18.4709677419355,19.0678571428571,22.0535714285714,17.1428571428571,0,0,0,64.8181818181818,38.5454545454545,29.8181818181818,,pre_covid
2013-04,21.53,23.9166666666667,19.66,20.5516129032258,23.4967741935484,18.4709677419355,0,0,0,59.9090909090909,50.2727272727273,33.4545454545455,,pre_covid
2013-05,25.7290322580645,28.1516129032258,23.9483870967742,21.53,23.9166666666667,19.66,1,0,1,49.9090909090909,31.7272727272727,17.7272727272727,,pre_covid
2013-06,28.1466666666667,30.7433333333333,26.4533333333333,25.7290322580645,28.1516129032258,23.9483870967742,6,0,5,38.4545454545455,25.9090909090909,13.6363636363636,,pre_covid
2013-07,27.9612903225806,30.9387096774194,26.1032258064516,28.1466666666667,30.7433333333333,26.4533333333333,1,0,5,34.7272727272727,21.7272727272727,10.1,,pre_covid
2013-08,28.6064516129032,31.1322580645161,26.5290322580645,27.9612903225806,30.9387096774194,26.1032258064516,1,0,5,44.0909090909091,28.8181818181818,17.4,,pre_covid
2013-09,27.5166666666667,30.2533333333333,25.6866666666667,28.6064516129032,31.1322580645161,26.5290322580645,1,0,1,43.2727272727273,50,24.6,,pre_covid
2013-10,25.6483870967742,28.6,23.6838709677419,27.5166666666667,30.2533333333333,25.6866666666667,0,0,0,60.4545454545455,83.5454545454545,49.6,,pre_covid
2013-11,21.6966666666667,23.8466666666667,19.7466666666667,25.6483870967742,28.6,23.6838709677419,0,0,0,53,52.9090909090909,35.7,,pre_covid
2013-12,16.1096774193548,18.5677419354839,14,21.6966666666667,23.8466666666667,19.7466666666667,0,10,0,70.9090909090909,48.4545454545455,62.9,0.1238,pre_covid
2014-01,16.3193548387097,19.2032258064516,14.1161290322581,16.1096774193548,18.5677419354839,14,0,6,0,72.0833333333333,54.5,53.4166666666667,0.2242,pre_covid
2014-02,15.4714285714286,17.8857142857143,13.5142857142857,16.3193548387097,19.2032258064516,14.1161290322581,0,9,0,48.5,38.5833333333333,28.6666666666667,0.291175,pre_covid
2014-03,18.6903225806452,20.9,17.0032258064516,15.4714285714286,17.8857142857143,13.5142857142857,0,0,0,53.3333333333333,42.25,33.5,0.18622,pre_covid
2014-04,22.5833333333333,24.8666666666667,21.0333333333333,18.6903225806452,20.9,17.0032258064516,0,0,0,52.25,54.5833333333333,28.8181818181818,0.086575,pre_covid
2014-05,26.3903225806452,28.5612903225806,24.6161290322581,22.5833333333333,24.8666666666667,21.0333333333333,3,0,0,40.25,33.5,14.5454545454545,0.05325,pre_covid
2014-06,29.01,31.4833333333333,27.0266666666667,26.3903225806452,28.5612903225806,24.6161290322581,8,0,5,41.25,38.5833333333333,18,0.10608,pre_covid
2014-07,29.7806451612903,32.5903225806452,27.6193548387097,29.01,31.4833333333333,27.0266666666667,13,0,15,41.25,30.1666666666667,16.8333333333333,0.0827,pre_covid
