SEX,AGE,CCYY,H,obs_value,sd_value
F,5-9,1963,1,233.1000000000,
F,50-54,1963,1,75.2000000000,
F,55-59,1963,1,58.1000000000,
F,60-64,1963,1,47.1000000000,
F,65-69,1963,1,34.2000000000,
F,70-74,1963,1,22.5000000000,
F,75-79,1963,1,12.3000000000,
F,80-84,1963,1,5.6000000000,
F,85_and_over,1963,1,3.1000000000,
M,,1963,1,1730.1000000000,
M,0-4,1963,1,275.6000000000,
M,10-14,1963,1,191.6000000000,
M,15-19,1963,1,124.3000000000,
M,20-24,1963,1,109.4000000000,
M,25-29,1963,1,126.8000000000,
M,30-34,1963,1,138.7000000000,
M,35-39,1963,1,126.4000000000,
M,40-44,1963,1,113.2000000000,
M,45-49,1963,1,93.2000000000,
M,5-9,1963,1,245.1000000000,
M,50-54,1963,1,73.1000000000,
M,55-59,1963,1,45.6000000000,
M,60-64,1963,1,30.5000000000,
M,65-69,1963,1,17.9000000000,
M,70-74,1963,1,10.4000000000,
M,75-79,1963,1,5.0000000000,
M,80-84,1963,1,2.1000000000,
M,85_and_over,1963,1,1.2000000000,
,,1963,2,3461.8000000000,
F,,1963,2,0.0000000000,9
M,,1963,2,0.0000000000,9
,,1964,1,3504.6000000000,
,0-4,1964,1,540.3000000000,
,10-14,1964,1,399.8000000000,
,15-19,1964,1,267.6000000000,
,20-24,1964,1,193.6000000000,
,25-29,1964,1,224.7000000000,
,30-34,1964,1,260.7000000000,
,35-39,1964,1,248.3000000000,
,40-44,1964,1,218.5000000000,
,45-49,1964,1,187.1000000000,
,5-9,1964,1,498.4000000000,
,50-54,1964,1,152.9000000000,
,55-59,1964,1,111.2000000000,
,60-64,1964,1,79.2000000000,
,65-69,1964,1,56.2000000000,
,70-74,1964,1,34.1000000000,
,75-79,1964,1,19.2000000000,
,80-84,1964,1,7.9000000000,
,85_and_over,1964,1,4.9000000000,
F,,1964,1,1735.4000000000,
F,0-4,1964,1,265.0000000000,
F,10-14,1964,1,197.0000000000,
F,15-19,1964,1,130.2000000000,
F,20-24,1964,1,87.5000000000,
F,25-29,1964,1,104.0000000000,
F,30-34,1964,1,124.3000000000,
F,35-39,1964,1,119.5000000000,
F,40-44,1964,1,104.7000000000,
