SEX,AGE,CCYY,H,obs_value,sd_value
F,,1973,1,2078.2000000000,
F,0-4,1973,1,192.4000000000,
F,10-14,1973,1,270.1000000000,
F,15-19,1973,1,235.9000000000,
F,20-24,1973,1,189.9000000000,
F,25-29,1973,1,119.6000000000,
F,30-34,1973,1,90.3000000000,
F,35-39,1973,1,112.0000000000,
F,40-44,1973,1,124.5000000000,
F,45-49,1973,1,116.5000000000,
F,5-9,1973,1,233.1000000000,
F,50-54,1973,1,101.2000000000,
F,55-59,1973,1,85.0000000000,
F,60-64,1973,1,70.0000000000,
F,65-69,1973,1,52.3000000000,
F,70-74,1973,1,39.8000000000,
F,75-79,1973,1,25.0000000000,
F,80-84,1973,1,13.2000000000,
F,85_and_over,1973,1,7.4000000000,
M,,1973,1,2163.4000000000,
M,0-4,1973,1,204.4000000000,
M,10-14,1973,1,282.4000000000,
M,15-19,1973,1,249.4000000000,
M,20-24,1973,1,204.3000000000,
M,25-29,1973,1,142.5000000000,
M,30-34,1973,1,113.7000000000,
M,35-39,1973,1,130.9000000000,
M,40-44,1973,1,137.0000000000,
M,45-49,1973,1,124.9000000000,
M,5-9,1973,1,246.3000000000,
M,50-54,1973,1,107.9000000000,
M,55-59,1973,1,85.7000000000,
M,60-64,1973,1,62.4000000000,
M,65-69,1973,1,34.7000000000,
M,70-74,1973,1,20.6000000000,
M,75-79,1973,1,9.9000000000,
M,80-84,1973,1,4.2000000000,
M,85_and_over,1973,1,2.2000000000,
,,1973,2,4334.2000000000,
F,,1973,2,0.0000000000,9
M,,1973,2,0.0000000000,9
,,1974,1,4377.8000000000,
,0-4,1974,1,400.2000000000,
,10-14,1974,1,562.6000000000,
,15-19,1974,1,508.3000000000,
,20-24,1974,1,414.8000000000,
,25-29,1974,1,305.2000000000,
,30-34,1974,1,202.8000000000,
,35-39,1974,1,244.1000000000,
,40-44,1974,1,260.8000000000,
,45-49,1974,1,250.9000000000,
,5-9,1974,1,462.4000000000,
,50-54,1974,1,218.6000000000,
,55-59,1974,1,178.8000000000,
,60-64,1974,1,141.6000000000,
,65-69,1974,1,93.4000000000,
,70-74,1974,1,65.3000000000,
,75-79,1974,1,38.4000000000,
,80-84,1974,1,19.1000000000,
,85_and_over,1974,1,10.5000000000,
F,,1974,1,2147.1000000000,
F,0-4,1974,1,194.7000000000,
F,10-14,1974,1,275.8000000000,
F,15-19,1974,1,247.8000000000,
F,20-24,1974,1,199.8000000000,
F,25-29,1974,1,140.7000000000,
F,30-34,1974,1,89.3000000000,
F,35-39,1974,1,112.0000000000,
F,40-44,1974,1,123.5000000000,
F,45-49,1974,1,121.5000000000,
F,5-9,1974,1,225.1000000000,
F,50-54,1974,1,106.5000000000,
F,55-59,1974,1,88.9000000000,
F,60-64,1974,1,73.9000000000,
F,65-69,1974,1,55.1000000000,
F,70-74,1974,1,43.0000000000,
F,75-79,1974,1,27.0000000000,
F,80-84,1974,1,14.4000000000,
F,85_and_over,1974,1,8.1000000000,
M,,1974,1,2230.7000000000,
M,0-4,1974,1,205.5000000000,
M,10-14,1974,1,286.8000000000,
M,15-19,1974,1,260.5000000000,
M,20-24,1974,1,215.0000000000,
M,25-29,1974,1,164.5000000000,
M,30-34,1974,1,113.5000000000,
M,35-39,1974,1,132.1000000000,
M,40-44,1974,1,137.3000000000,
M,45-49,1974,1,129.4000000000,
M,5-9,1974,1,237.3000000000,
M,50-54,1974,1,112.1000000000,
M,55-59,1974,1,89.9000000000,
M,60-64,1974,1,67.7000000000,
M,65-69,1974,1,38.3000000000,
M,70-74,1974,1,22.3000000000,
M,75-79,1974,1,11.4000000000,
M,80-84,1974,1,4.7000000000,
M,85_and_over,1974,1,2.4000000000,
,,1974,2,4438.6000000000,
F,,1974,2,0.0000000000,9
M,,1974,2,0.0000000000,9
,,1975,1,4461.6000000000,
,0-4,1975,1,403.2000000000,
,10-14,1975,1,559.5000000000,
,15-19,1975,1,526.1000000000,
,20-24,1975,1,433.7000000000,
,25-29,1975,1,340.7000000000,
,30-34,1975,1,207.0000000000,
,35-39,1975,1,240.5000000000,
,40-44,1975,1,259.3000000000,
,45-49,1975,1,255.1000000000,
,5-9,1975,1,439.7000000000,
,50-54,1975,1,226.2000000000,
,55-59,1975,1,184.2000000000,
,60-64,1975,1,149.5000000000,
,65-69,1975,1,97.1000000000,
,70-74,1975,1,68.5000000000,
,75-79,1975,1,40.2000000000,
,80-84,1975,1,19.4000000000,
,85_and_over,1975,1,11.7000000000,
F,,1975,1,2177.4000000000,
F,0-4,1975,1,195.9000000000,
F,10-14,1975,1,273.6000000000,
F,15-19,1975,1,256.1000000000,
F,20-24,1975,1,209.2000000000,
F,25-29,1975,1,156.8000000000,
F,30-34,1975,1,89.7000000000,
F,35-39,1975,1,108.3000000000,
F,40-44,1975,1,121.6000000000,
F,45-49,1975,1,122.9000000000,
F,5-9,1975,1,213.2000000000,
F,50-54,1975,1,109.8000000000,
F,55-59,1975,1,91.3000000000,
F,60-64,1975,1,76.7000000000,
F,65-69,1975,1,56.2000000000,
F,70-74,1975,1,44.7000000000,
F,75-79,1975,1,27.9000000000,
F,80-84,1975,1,14.5000000000,
F,85_and_over,1975,1,9.0000000000,
M,,1975,1,2284.2000000000,
M,0-4,1975,1,207.3000000000,
M,10-14,1975,1,285.9000000000,
M,15-19,1975,1,270.0000000000,
M,20-24,1975,1,224.5000000000,
M,25-29,1975,1,183.9000000000,
M,30-34,1975,1,117.3000000000,
M,35-39,1975,1,132.2000000000,
M,40-44,1975,1,137.7000000000,
M,45-49,1975,1,132.2000000000,
M,5-9,1975,1,226.5000000000,
M,50-54,1975,1,116.4000000000,
M,55-59,1975,1,92.9000000000,
M,60-64,1975,1,72.8000000000,
M,65-69,1975,1,40.9000000000,
M,70-74,1975,1,23.8000000000,
M,75-79,1975,1,12.3000000000,
M,80-84,1975,1,4.9000000000,
M,85_and_over,1975,1,2.7000000000,
,,1975,2,4500.8000000000,
F,,1975,2,0.0000000000,9
M,,1975,2,0.0000000000,9
,,1976,1,4518.0000000000,
,0-4,1976,1,398.5000000000,
,10-14,1976,1,546.2000000000,
,15-19,1976,1,541.2000000000,
,20-24,1976,1,451.8000000000,
,25-29,1976,1,367.7000000000,
,30-34,1976,1,221.6000000000,
,35-39,1976,1,232.9000000000,
,40-44,1976,1,257.3000000000,
,45-49,1976,1,257.3000000000,
,5-9,1976,1,421.5000000000,
,50-54,1976,1,232.5000000000,
,55-59,1976,1,189.6000000000,
,60-64,1976,1,155.4000000000,
,65-69,1976,1,100.9000000000,
,70-74,1976,1,70.5000000000,
,75-79,1976,1,41.4000000000,
,80-84,1976,1,20.2000000000,
,85_and_over,1976,1,11.5000000000,
F,,1976,1,2202.0000000000,
F,0-4,1976,1,193.4000000000,
F,10-14,1976,1,267.0000000000,
F,15-19,1976,1,263.4000000000,
F,20-24,1976,1,218.7000000000,
F,25-29,1976,1,170.5000000000,
F,30-34,1976,1,95.5000000000,
F,35-39,1976,1,103.6000000000,
F,40-44,1976,1,119.4000000000,
F,45-49,1976,1,123.3000000000,
F,5-9,1976,1,205.0000000000,
F,50-54,1976,1,112.8000000000,
F,55-59,1976,1,93.8000000000,
F,60-64,1976,1,79.0000000000,
F,65-69,1976,1,57.5000000000,
F,70-74,1976,1,45.9000000000,
F,75-79,1976,1,28.9000000000,
F,80-84,1976,1,15.2000000000,
F,85_and_over,1976,1,9.1000000000,
M,,1976,1,2316.0000000000,
M,0-4,1976,1,205.1000000000,
M,10-14,1976,1,279.2000000000,
M,15-19,1976,1,277.8000000000,
M,20-24,1976,1,233.1000000000,
M,25-29,1976,1,197.2000000000,
M,30-34,1976,1,126.1000000000,
M,35-39,1976,1,129.3000000000,
M,40-44,1976,1,137.9000000000,
M,45-49,1976,1,134.0000000000,
M,5-9,1976,1,216.5000000000,
M,50-54,1976,1,119.7000000000,
M,55-59,1976,1,95.8000000000,
M,60-64,1976,1,76.4000000000,
M,65-69,1976,1,43.4000000000,
M,70-74,1976,1,24.6000000000,
M,75-79,1976,1,12.5000000000,
M,80-84,1976,1,5.0000000000,
M,85_and_over,1976,1,2.4000000000,
,,1976,2,4551.0000000000,
F,,1976,2,0.0000000000,9
M,,1976,2,0.0000000000,9
,,1977,1,4583.7000000000,
,0-4,1977,1,398.3000000000,
,10-14,1977,1,522.7000000000,
,15-19,1977,1,555.1000000000,
,20-24,1977,1,472.9000000000,
,25-29,1977,1,387.4000000000,
,30-34,1977,1,248.7000000000,
,35-39,1977,1,220.9000000000,
,40-44,1977,1,255.7000000000,
,45-49,1977,1,258.3000000000,
,5-9,1977,1,408.5000000000,
,50-54,1977,1,237.4000000000,
,55-59,1977,1,196.9000000000,
,60-64,1977,1,159.8000000000,
,65-69,1977,1,109.6000000000,
,70-74,1977,1,73.0000000000,
,75-79,1977,1,44.8000000000,
,80-84,1977,1,21.3000000000,
,85_and_over,1977,1,12.4000000000,
F,,1977,1,2234.1000000000,
F,0-4,1977,1,192.7000000000,
F,10-14,1977,1,255.3000000000,
F,15-19,1977,1,270.3000000000,
F,20-24,1977,1,229.0000000000,
F,25-29,1977,1,181.3000000000,
F,30-34,1977,1,109.6000000000,
F,35-39,1977,1,97.3000000000,
F,40-44,1977,1,118.2000000000,
F,45-49,1977,1,123.6000000000,
F,5-9,1977,1,198.6000000000,
F,50-54,1977,1,115.4000000000,
F,55-59,1977,1,97.1000000000,
F,60-64,1977,1,81.3000000000,
F,65-69,1977,1,60.9000000000,
F,70-74,1977,1,46.4000000000,
F,75-79,1977,1,31.2000000000,
F,80-84,1977,1,16.1000000000,
F,85_and_over,1977,1,9.8000000000,
M,,1977,1,2349.6000000000,
M,0-4,1977,1,205.6000000000,
M,10-14,1977,1,267.4000000000,
M,15-19,1977,1,284.8000000000,
M,20-24,1977,1,243.9000000000,
M,25-29,1977,1,206.1000000000,
M,30-34,1977,1,139.1000000000,
M,35-39,1977,1,123.6000000000,
M,40-44,1977,1,137.5000000000,
M,45-49,1977,1,134.7000000000,
M,5-9,1977,1,209.9000000000,
M,50-54,1977,1,122.0000000000,
M,55-59,1977,1,99.8000000000,
M,60-64,1977,1,78.5000000000,
M,65-69,1977,1,48.7000000000,
M,70-74,1977,1,26.6000000000,
M,75-79,1977,1,13.6000000000,
M,80-84,1977,1,5.2000000000,
M,85_and_over,1977,1,2.6000000000,
,,1977,2,4631.5000000000,
F,,1977,2,0.0000000000,9
M,,1977,2,0.0000000000,9
,,1978,1,4667.5000000000,
,0-4,1978,1,397.5000000000,
,10-14,1978,1,496.7000000000,
,15-19,1978,1,564.9000000000,
,20-24,1978,1,494.4000000000,
,25-29,1978,1,405.4000000000,
,30-34,1978,1,284.1000000000,
,35-39,1978,1,211.2000000000,
,40-44,1978,1,254.5000000000,
,45-49,1978,1,259.6000000000,
,5-9,1978,1,405.4000000000,
,50-54,1978,1,242.0000000000,
,55-59,1978,1,204.6000000000,
,60-64,1978,1,165.6000000000,
,65-69,1978,1,119.6000000000,
,70-74,1978,1,76.8000000000,
,75-79,1978,1,48.7000000000,
,80-84,1978,1,23.1000000000,
,85_and_over,1978,1,13.4000000000,
F,,1978,1,2275.2000000000,
F,0-4,1978,1,192.3000000000,
F,10-14,1978,1,242.0000000000,
F,15-19,1978,1,275.3000000000,
F,20-24,1978,1,239.4000000000,
F,25-29,1978,1,191.8000000000,
F,30-34,1978,1,127.4000000000,
F,35-39,1978,1,92.3000000000,
F,40-44,1978,1,116.9000000000,
F,45-49,1978,1,123.3000000000,
F,5-9,1978,1,197.2000000000,
F,50-54,1978,1,117.6000000000,
F,55-59,1978,1,100.6000000000,
F,60-64,1978,1,83.9000000000,
F,65-69,1978,1,65.9000000000,
F,70-74,1978,1,47.7000000000,
F,75-79,1978,1,33.6000000000,
F,80-84,1978,1,17.3000000000,
F,85_and_over,1978,1,10.7000000000,
M,,1978,1,2392.3000000000,
M,0-4,1978,1,205.2000000000,
M,10-14,1978,1,254.7000000000,
M,15-19,1978,1,289.6000000000,
M,20-24,1978,1,255.0000000000,
M,25-29,1978,1,213.6000000000,
M,30-34,1978,1,156.7000000000,
M,35-39,1978,1,118.9000000000,
M,40-44,1978,1,137.6000000000,
M,45-49,1978,1,136.3000000000,
M,5-9,1978,1,208.2000000000,
M,50-54,1978,1,124.4000000000,
M,55-59,1978,1,104.0000000000,
M,60-64,1978,1,81.7000000000,
M,65-69,1978,1,53.7000000000,
M,70-74,1978,1,29.1000000000,
M,75-79,1978,1,15.1000000000,
M,80-84,1978,1,5.8000000000,
M,85_and_over,1978,1,2.7000000000,
,,1978,2,4769.9000000000,
F,,1978,2,0.0000000000,9
M,,1978,2,0.0000000000,9
,,1979,1,4929.7000000000,
,0-4,1979,1,408.3000000000,
,10-14,1979,1,484.2000000000,
,15-19,1979,1,587.6000000000,
,20-24,1979,1,546.6000000000,
,25-29,1979,1,448.8000000000,
,30-34,1979,1,337.6000000000,
,35-39,1979,1,221.1000000000,
,40-44,1979,1,261.5000000000,
,45-49,1979,1,268.2000000000,
,5-9,1979,1,421.6000000000,
,50-54,1979,1,251.9000000000,
,55-59,1979,1,212.7000000000,
,60-64,1979,1,173.5000000000,
,65-69,1979,1,130.4000000000,
,70-74,1979,1,84.2000000000,
,75-79,1979,1,51.6000000000,
,80-84,1979,1,25.4000000000,
,85_and_over,1979,1,14.5000000000,
F,,1979,1,2383.7000000000,
F,0-4,1979,1,197.1000000000,
F,10-14,1979,1,235.5000000000,
F,15-19,1979,1,285.3000000000,
F,20-24,1979,1,261.4000000000,
F,25-29,1979,1,210.7000000000,
F,30-34,1979,1,151.5000000000,
F,35-39,1979,1,95.5000000000,
F,40-44,1979,1,117.4000000000,
F,45-49,1979,1,125.0000000000,
F,5-9,1979,1,204.4000000000,
F,50-54,1979,1,120.7000000000,
F,55-59,1979,1,103.9000000000,
F,60-64,1979,1,87.9000000000,
F,65-69,1979,1,70.8000000000,
F,70-74,1979,1,51.0000000000,
F,75-79,1979,1,35.2000000000,
F,80-84,1979,1,18.8000000000,
F,85_and_over,1979,1,11.6000000000,
M,,1979,1,2546.0000000000,
M,0-4,1979,1,211.2000000000,
M,10-14,1979,1,248.7000000000,
M,15-19,1979,1,302.3000000000,
M,20-24,1979,1,285.2000000000,
M,25-29,1979,1,238.1000000000,
M,30-34,1979,1,186.1000000000,
M,35-39,1979,1,125.6000000000,
M,40-44,1979,1,144.1000000000,
M,45-49,1979,1,143.2000000000,
M,5-9,1979,1,217.2000000000,
M,50-54,1979,1,131.2000000000,
M,55-59,1979,1,108.8000000000,
M,60-64,1979,1,85.6000000000,
M,65-69,1979,1,59.6000000000,
M,70-74,1979,1,33.2000000000,
M,75-79,1979,1,16.4000000000,
M,80-84,1979,1,6.6000000000,
M,85_and_over,1979,1,2.9000000000,
,,1979,2,5024.7000000000,
F,,1979,2,0.0000000000,9
M,,1979,2,0.0000000000,9
,,1980,1,5063.1000000000,
,0-4,1980,1,408.2000000000,
,10-14,1980,1,462.7000000000,
,15-19,1980,1,584.8000000000,
,20-24,1980,1,581.0000000000,
,25-29,1980,1,477.6000000000,
,30-34,1980,1,381.5000000000,
,35-39,1980,1,231.2000000000,
,40-44,1980,1,260.9000000000,
,45-49,1980,1,269.9000000000,
,5-9,1980,1,422.2000000000,
,50-54,1980,1,260.2000000000,
,55-59,1980,1,216.8000000000,
,60-64,1980,1,181.0000000000,
,65-69,1980,1,137.5000000000,
,70-74,1980,1,90.1000000000,
,75-79,1980,1,54.6000000000,
,80-84,1980,1,27.3000000000,
,85_and_over,1980,1,15.6000000000,
F,,1980,1,2434.1000000000,
F,0-4,1980,1,197.0000000000,
F,10-14,1980,1,224.6000000000,
F,15-19,1980,1,283.3000000000,
F,20-24,1980,1,276.0000000000,
F,25-29,1980,1,222.4000000000,
F,30-34,1980,1,171.2000000000,
F,35-39,1980,1,99.2000000000,
F,40-44,1980,1,115.5000000000,
F,45-49,1980,1,124.6000000000,
F,5-9,1980,1,204.2000000000,
F,50-54,1980,1,123.0000000000,
F,55-59,1980,1,105.8000000000,
F,60-64,1980,1,90.7000000000,
F,65-69,1980,1,73.4000000000,
F,70-74,1980,1,53.9000000000,
F,75-79,1980,1,36.9000000000,
F,80-84,1980,1,19.9000000000,
F,85_and_over,1980,1,12.5000000000,
M,,1980,1,2629.0000000000,
M,0-4,1980,1,211.2000000000,
M,10-14,1980,1,238.1000000000,
M,15-19,1980,1,301.5000000000,
M,20-24,1980,1,305.0000000000,
M,25-29,1980,1,255.2000000000,
M,30-34,1980,1,210.3000000000,
M,35-39,1980,1,132.0000000000,
M,40-44,1980,1,145.4000000000,
M,45-49,1980,1,145.3000000000,
M,5-9,1980,1,218.0000000000,
M,50-54,1980,1,137.2000000000,
M,55-59,1980,1,111.0000000000,
M,60-64,1980,1,90.3000000000,
M,65-69,1980,1,64.1000000000,
M,70-74,1980,1,36.2000000000,
M,75-79,1980,1,17.7000000000,
M,80-84,1980,1,7.4000000000,
M,85_and_over,1980,1,3.1000000000,
,,1980,2,5145.1000000000,
F,,1980,2,0.0000000000,9
M,,1980,2,0.0000000000,9
,,1981,1,5183.4000000000,
,0-4,1981,1,414.7000000000,
,10-14,1981,1,446.4000000000,
,15-19,1981,1,571.9000000000,
,20-24,1981,1,605.6000000000,
,25-29,1981,1,506.1000000000,
,30-34,1981,1,422.0000000000,
,35-39,1981,1,251.4000000000,
,40-44,1981,1,259.4000000000,
,45-49,1981,1,270.7000000000,
,5-9,1981,1,416.2000000000,
,50-54,1981,1,265.9000000000,
,55-59,1981,1,221.5000000000,
,60-64,1981,1,187.3000000000,
,65-69,1981,1,144.5000000000,
,70-74,1981,1,96.9000000000,
,75-79,1981,1,56.6000000000,
,80-84,1981,1,29.9000000000,
,85_and_over,1981,1,16.4000000000,
F,,1981,1,2483.7000000000,
F,0-4,1981,1,200.2000000000,
F,10-14,1981,1,216.7000000000,
F,15-19,1981,1,276.2000000000,
F,20-24,1981,1,287.5000000000,
F,25-29,1981,1,235.6000000000,
F,30-34,1981,1,190.6000000000,
F,35-39,1981,1,108.6000000000,
F,40-44,1981,1,113.3000000000,
F,45-49,1981,1,123.6000000000,
F,5-9,1981,1,200.9000000000,
F,50-54,1981,1,124.6000000000,
F,55-59,1981,1,107.4000000000,
F,60-64,1981,1,93.3000000000,
F,65-69,1981,1,76.3000000000,
F,70-74,1981,1,57.0000000000,
F,75-79,1981,1,37.3000000000,
F,80-84,1981,1,21.7000000000,
F,85_and_over,1981,1,12.9000000000,
M,,1981,1,2699.7000000000,
M,0-4,1981,1,214.5000000000,
M,10-14,1981,1,229.7000000000,
M,15-19,1981,1,295.7000000000,
M,20-24,1981,1,318.1000000000,
M,25-29,1981,1,270.5000000000,
M,30-34,1981,1,231.4000000000,
M,35-39,1981,1,142.8000000000,
M,40-44,1981,1,146.1000000000,
M,45-49,1981,1,147.1000000000,
M,5-9,1981,1,215.3000000000,
M,50-54,1981,1,141.3000000000,
M,55-59,1981,1,114.1000000000,
M,60-64,1981,1,94.0000000000,
M,65-69,1981,1,68.2000000000,
M,70-74,1981,1,39.9000000000,
M,75-79,1981,1,19.3000000000,
M,80-84,1981,1,8.2000000000,
M,85_and_over,1981,1,3.5000000000,
,,1981,2,5238.5000000000,
F,,1981,2,0.0000000000,9
M,,1981,2,0.0000000000,9
,,1982,1,5264.5000000000,
,0-4,1982,1,422.2000000000,
,10-14,1982,1,439.6000000000,
,15-19,1982,1,544.5000000000,
,20-24,1982,1,609.2000000000,
,25-29,1982,1,530.3000000000,
,30-34,1982,1,445.3000000000,
,35-39,1982,1,280.5000000000,
,40-44,1982,1,252.5000000000,
,45-49,1982,1,272.3000000000,
,5-9,1982,1,419.6000000000,
,50-54,1982,1,268.2000000000,
,55-59,1982,1,230.1000000000,
,60-64,1982,1,190.9000000000,
,65-69,1982,1,150.0000000000,
,70-74,1982,1,101.4000000000,
,75-79,1982,1,59.8000000000,
,80-84,1982,1,30.7000000000,
,85_and_over,1982,1,17.4000000000,
F,,1982,1,2529.7000000000,
F,0-4,1982,1,204.0000000000,
F,10-14,1982,1,212.3000000000,
F,15-19,1982,1,264.1000000000,
F,20-24,1982,1,292.1000000000,
F,25-29,1982,1,249.3000000000,
F,30-34,1982,1,203.8000000000,
F,35-39,1982,1,123.3000000000,
F,40-44,1982,1,110.7000000000,
F,45-49,1982,1,123.8000000000,
F,5-9,1982,1,201.4000000000,
F,50-54,1982,1,125.6000000000,
F,55-59,1982,1,111.5000000000,
F,60-64,1982,1,95.4000000000,
F,65-69,1982,1,78.7000000000,
F,70-74,1982,1,58.7000000000,
F,75-79,1982,1,39.0000000000,
F,80-84,1982,1,22.3000000000,
F,85_and_over,1982,1,13.7000000000,
M,,1982,1,2734.8000000000,
M,0-4,1982,1,218.2000000000,
M,10-14,1982,1,227.3000000000,
M,15-19,1982,1,280.4000000000,
M,20-24,1982,1,317.1000000000,
M,25-29,1982,1,281.0000000000,
M,30-34,1982,1,241.5000000000,
M,35-39,1982,1,157.2000000000,
M,40-44,1982,1,141.8000000000,
M,45-49,1982,1,148.5000000000,
M,5-9,1982,1,218.2000000000,
M,50-54,1982,1,142.6000000000,
M,55-59,1982,1,118.6000000000,
M,60-64,1982,1,95.5000000000,
M,65-69,1982,1,71.3000000000,
M,70-74,1982,1,42.7000000000,
M,75-79,1982,1,20.8000000000,
M,80-84,1982,1,8.4000000000,
M,85_and_over,1982,1,3.7000000000,
,,1982,2,5319.5000000000,
F,,1982,2,2550.7000000000,
M,,1982,2,2768.8000000000,
,,1983,1,5345.1000000000,
,0-4,1983,1,427.4000000000,
,10-14,1983,1,437.9000000000,
,15-19,1983,1,517.8000000000,
,20-24,1983,1,606.4000000000,
,25-29,1983,1,557.6000000000,
,30-34,1983,1,463.1000000000,
,35-39,1983,1,318.0000000000,
,40-44,1983,1,244.5000000000,
,45-49,1983,1,273.1000000000,
,5-9,1983,1,420.4000000000,
,50-54,1983,1,270.6000000000,
,55-59,1983,1,238.4000000000,
,60-64,1983,1,195.3000000000,
,65-69,1983,1,154.7000000000,
,70-74,1983,1,106.4000000000,
,75-79,1983,1,62.7000000000,
,80-84,1983,1,32.1000000000,
,85_and_over,1983,1,18.7000000000,
F,,1983,1,2573.9000000000,
F,0-4,1983,1,206.5000000000,
F,10-14,1983,1,210.3000000000,
F,15-19,1983,1,250.6000000000,
F,20-24,1983,1,293.4000000000,
F,25-29,1983,1,264.4000000000,
F,30-34,1983,1,214.0000000000,
F,35-39,1983,1,142.2000000000,
F,40-44,1983,1,107.7000000000,
F,45-49,1983,1,123.8000000000,
F,5-9,1983,1,201.9000000000,
F,50-54,1983,1,126.4000000000,
F,55-59,1983,1,115.1000000000,
F,60-64,1983,1,97.6000000000,
F,65-69,1983,1,80.9000000000,
F,70-74,1983,1,60.7000000000,
F,75-79,1983,1,40.5000000000,
F,80-84,1983,1,23.2000000000,
F,85_and_over,1983,1,14.7000000000,
M,,1983,1,2771.2000000000,
M,0-4,1983,1,220.9000000000,
M,10-14,1983,1,227.6000000000,
M,15-19,1983,1,267.2000000000,
M,20-24,1983,1,313.0000000000,
M,25-29,1983,1,293.2000000000,
M,30-34,1983,1,249.1000000000,
M,35-39,1983,1,175.8000000000,
M,40-44,1983,1,136.8000000000,
M,45-49,1983,1,149.3000000000,
M,5-9,1983,1,218.5000000000,
M,50-54,1983,1,144.2000000000,
M,55-59,1983,1,123.3000000000,
M,60-64,1983,1,97.7000000000,
M,65-69,1983,1,73.8000000000,
M,70-74,1983,1,45.7000000000,
M,75-79,1983,1,22.2000000000,
M,80-84,1983,1,8.9000000000,
M,85_and_over,1983,1,4.0000000000,
,,1983,2,5377.4000000000,
F,,1983,2,2585.3000000000,
M,,1983,2,2792.1000000000,
,,1984,1,5397.9000000000,
,0-4,1984,1,426.2000000000,
,10-14,1984,1,437.5000000000,
,15-19,1984,1,492.1000000000,
,20-24,1984,1,595.0000000000,
,25-29,1984,1,581.2000000000,
,30-34,1984,1,475.8000000000,
,35-39,1984,1,355.6000000000,
,40-44,1984,1,238.7000000000,
,45-49,1984,1,269.9000000000,
,5-9,1984,1,419.2000000000,
,50-54,1984,1,271.7000000000,
,55-59,1984,1,245.1000000000,
,60-64,1984,1,200.3000000000,
,65-69,1984,1,158.2000000000,
,70-74,1984,1,112.1000000000,
,75-79,1984,1,64.8000000000,
,80-84,1984,1,34.3000000000,
,85_and_over,1984,1,20.2000000000,
F,,1984,1,2606.2000000000,
F,0-4,1984,1,205.7000000000,
F,10-14,1984,1,209.5000000000,
F,15-19,1984,1,237.6000000000,
F,20-24,1984,1,290.1000000000,
F,25-29,1984,1,277.9000000000,
F,30-34,1984,1,222.4000000000,
F,35-39,1984,1,161.8000000000,
F,40-44,1984,1,105.5000000000,
F,45-49,1984,1,122.3000000000,
F,5-9,1984,1,201.3000000000,
F,50-54,1984,1,126.5000000000,
F,55-59,1984,1,118.0000000000,
F,60-64,1984,1,100.1000000000,
F,65-69,1984,1,82.4000000000,
F,70-74,1984,1,63.2000000000,
F,75-79,1984,1,41.3000000000,
F,80-84,1984,1,24.7000000000,
F,85_and_over,1984,1,15.9000000000,
M,,1984,1,2791.7000000000,
M,0-4,1984,1,220.5000000000,
M,10-14,1984,1,228.0000000000,
M,15-19,1984,1,254.5000000000,
M,20-24,1984,1,304.9000000000,
M,25-29,1984,1,303.3000000000,
M,30-34,1984,1,253.4000000000,
M,35-39,1984,1,193.8000000000,
M,40-44,1984,1,133.2000000000,
M,45-49,1984,1,147.6000000000,
M,5-9,1984,1,217.9000000000,
M,50-54,1984,1,145.2000000000,
M,55-59,1984,1,127.1000000000,
M,60-64,1984,1,100.2000000000,
M,65-69,1984,1,75.8000000000,
M,70-74,1984,1,48.9000000000,
M,75-79,1984,1,23.5000000000,
M,80-84,1984,1,9.6000000000,
M,85_and_over,1984,1,4.3000000000,
,,1984,2,5430.9000000000,
F,,1984,2,2619.3000000000,
M,,1984,2,2811.6000000000,
,,1985,1,5456.2000000000,
,0-4,1985,1,422.1000000000,
,10-14,1985,1,438.1000000000,
,15-19,1985,1,471.0000000000,
,20-24,1985,1,581.0000000000,
,25-29,1985,1,599.9000000000,
,30-34,1985,1,490.7000000000,
,35-39,1985,1,391.1000000000,
,40-44,1985,1,241.2000000000,
,45-49,1985,1,265.9000000000,
,5-9,1985,1,418.1000000000,
,50-54,1985,1,273.0000000000,
,55-59,1985,1,249.9000000000,
,60-64,1985,1,207.8000000000,
,65-69,1985,1,161.5000000000,
,70-74,1985,1,118.7000000000,
,75-79,1985,1,67.2000000000,
,80-84,1985,1,37.1000000000,
,85_and_over,1985,1,21.9000000000,
F,,1985,1,2640.6000000000,
F,0-4,1985,1,203.5000000000,
F,10-14,1985,1,209.3000000000,
F,15-19,1985,1,226.4000000000,
F,20-24,1985,1,284.3000000000,
F,25-29,1985,1,289.5000000000,
F,30-34,1985,1,232.4000000000,
F,35-39,1985,1,180.5000000000,
F,40-44,1985,1,107.0000000000,
F,45-49,1985,1,120.5000000000,
F,5-9,1985,1,201.1000000000,
F,50-54,1985,1,126.4000000000,
F,55-59,1985,1,120.1000000000,
F,60-64,1985,1,103.7000000000,
F,65-69,1985,1,83.8000000000,
F,70-74,1985,1,66.2000000000,
F,75-79,1985,1,42.2000000000,
F,80-84,1985,1,26.4000000000,
F,85_and_over,1985,1,17.3000000000,
M,,1985,1,2815.6000000000,
M,0-4,1985,1,218.6000000000,
M,10-14,1985,1,228.8000000000,
M,15-19,1985,1,244.6000000000,
M,20-24,1985,1,296.7000000000,
M,25-29,1985,1,310.4000000000,
M,30-34,1985,1,258.3000000000,
M,35-39,1985,1,210.6000000000,
M,40-44,1985,1,134.2000000000,
M,45-49,1985,1,145.4000000000,
M,5-9,1985,1,217.0000000000,
M,50-54,1985,1,146.6000000000,
M,55-59,1985,1,129.8000000000,
