SEX,AGE,H,CCYY,obs_value,sd_value
F,82,1,1961,1.1000000000,
F,83,1,1961,1.0000000000,
F,84,1,1961,1.0000000000,
F,85_and_over,1,1961,2.0000000000,
F,9,1,1961,39.1000000000,
F,zero,1,1961,54.3000000000,
M,,1,1961,1586.9000000000,
M,1,1,1961,56.2000000000,
M,10,1,1961,38.1000000000,
M,11,1,1961,35.9000000000,
M,12,1,1961,33.0000000000,
M,13,1,1961,29.2000000000,
M,14,1,1961,24.9000000000,
M,15,1,1961,22.0000000000,
M,16,1,1961,19.7000000000,
M,17,1,1961,18.5000000000,
M,18,1,1961,18.2000000000,
M,19,1,1961,17.6000000000,
M,2,1,1961,55.1000000000,
M,20,1,1961,18.3000000000,
M,21,1,1961,18.9000000000,
M,22,1,1961,19.7000000000,
M,23,1,1961,21.4000000000,
M,24,1,1961,23.8000000000,
M,25,1,1961,24.6000000000,
M,26,1,1961,25.4000000000,
M,27,1,1961,26.0000000000,
M,28,1,1961,26.5000000000,
M,29,1,1961,27.3000000000,
M,3,1,1961,53.3000000000,
M,30,1,1961,27.7000000000,
M,31,1,1961,27.7000000000,
M,32,1,1961,27.4000000000,
M,33,1,1961,26.7000000000,
M,34,1,1961,25.9000000000,
M,35,1,1961,24.9000000000,
M,36,1,1961,24.2000000000,
M,37,1,1961,23.5000000000,
M,38,1,1961,23.3000000000,
M,39,1,1961,23.2000000000,
M,4,1,1961,51.4000000000,
M,40,1,1961,22.8000000000,
M,41,1,1961,22.2000000000,
M,42,1,1961,21.6000000000,
M,43,1,1961,20.6000000000,
M,44,1,1961,19.7000000000,
M,45,1,1961,18.6000000000,
M,46,1,1961,17.7000000000,
M,47,1,1961,16.9000000000,
M,48,1,1961,16.3000000000,
M,49,1,1961,15.6000000000,
M,5,1,1961,48.8000000000,
M,50,1,1961,15.0000000000,
M,51,1,1961,14.2000000000,
M,52,1,1961,13.1000000000,
M,53,1,1961,11.8000000000,
M,54,1,1961,10.5000000000,
M,55,1,1961,9.0000000000,
M,56,1,1961,8.0000000000,
M,57,1,1961,7.3000000000,
M,58,1,1961,6.9000000000,
M,59,1,1961,6.8000000000,
M,6,1,1961,46.4000000000,
M,60,1,1961,6.5000000000,
M,61,1,1961,6.2000000000,
M,62,1,1961,5.6000000000,
M,63,1,1961,4.7000000000,
M,64,1,1961,3.8000000000,
M,65,1,1961,3.8000000000,
M,66,1,1961,3.3000000000,
M,67,1,1961,2.9000000000,
M,68,1,1961,2.7000000000,
M,69,1,1961,2.6000000000,
M,7,1,1961,44.1000000000,
M,70,1,1961,2.4000000000,
M,71,1,1961,2.2000000000,
M,72,1,1961,1.9000000000,
M,73,1,1961,1.7000000000,
M,74,1,1961,1.4000000000,
M,75,1,1961,1.2000000000,
M,76,1,1961,0.9000000000,
M,77,1,1961,0.7000000000,
M,78,1,1961,0.7000000000,
M,79,1,1961,0.6000000000,
M,8,1,1961,42.1000000000,
M,80,1,1961,0.5000000000,
