"year","hot_nights","very_hot_days","extremely_hot_days","cold_days","mean_temp"
2013,,,,,
2014,,,,,
2015,,,,,
2016,,,,,
2017,,,,,
2018,,,,,
2019,,,,,
2020,,,,,
2021,,,,,
2022,,,,,
2023,,,,,
