"analysis","result_summary"
"Poisson vs NB",
"Exclude 2020-2022",
"Pre-COVID only",
"Lag-1 month",
"Alternative heat metrics",
"With/without pollutants",
"Multi-pollutant",
"Age grouping alternatives",
"ED vs inpatient",
"Optional 2024 extension",
