exposure,n,y_mean,y_sd,r2_month_fe,r2_ns4_only,r2_month_plus_ns4,residual_sd_after_month,residual_sd_after_month_ns4,variation_share_remaining_after_full_controls,df_residual_full,rank_full,nonzero_months,zero_months,max,min,data_status
mean_temp,132,24.018045706147763,4.698265448663794,0.9577928634956423,0.012457622875877483,0.9635501537831896,0.9652292961702618,0.8969854546077752,0.036449846216810355,116,16,132,0,30.2741935483871,15.2392857142857,REAL
mean_tmax,132,26.663840847695134,4.819647186590256,0.9471094897667317,0.015556297648603334,0.9566301168154298,1.1084194194833106,1.0037125949511652,0.043369883184570246,116,16,132,0,33.3193548387097,17.675,REAL
mean_tmin,132,22.10444385656983,4.691418215852331,0.9556947103208002,0.011900277211983723,0.9609059756410464,0.9874882574994746,0.9275970085924337,0.039094024358953594,116,16,132,0,28.3516129032258,13.351724137931,REAL
hot_nights,132,3.4015151515151514,5.399830147858623,0.7116875544175659,0.04318517008875855,0.7492139603997893,2.8994244325813745,2.704156223165008,0.25078603960021073,116,16,57,75,25.0,0.0,REAL
cold_days,132,1.0984848484848484,2.5528306351336894,0.5312491680790835,0.008561243634337967,0.541910693705122,1.7478052064105611,1.7278143625439466,0.458089306294878,116,16,29,103,11.0,0.0,REAL
very_hot_days,132,3.1893939393939394,5.177951753609827,0.6695217409122578,0.036604348944578424,0.7002484377688807,2.9766614742474924,2.834906417853895,0.2997515622311193,116,16,53,79,21.0,0.0,REAL
