"period","n_years","mean_hot_nights","mean_very_hot_days","mean_cold_days","mean_share_hn_spell_ge5","mean_months_with_2d3n"
"2013–2018",6,30.6666666666667,30.1666666666667,15.5,0.338937754109921,2.66666666666667
"2019–2023",5,53,48,10.4,0.50603941318838,4.4
