X,Y,Z
114.161249558349994,22.5620834444600078,8163.3974609375
114.169582891650009,22.5620834444600078,8212.990234375
114.177916224950025,22.5620834444600078,6604.1220703125
114.202916224850014,22.5620834444600078,1309.332275390625
114.152916225050035,22.5537501111600065,10982.6201171875
114.161249558349994,22.5537501111600065,431.2462158203125
114.169582891650009,22.5537501111600065,154.794815063476562
114.177916224950025,22.5537501111600065,1265.3782958984375
114.186249558249983,22.5537501111600065,2304.546630859375
114.194582891549999,22.5537501111600065,633.77099609375
114.202916224850014,22.5537501111600065,263.32781982421875
114.21124955815003,22.5537501111600065,1789.7174072265625
114.219582891449988,22.5537501111600065,5501.46044921875
114.244582891350035,22.5537501111600065,2.08161592483520508
114.252916224649994,22.5537501111600065,0.266634225845336914
114.286249557849999,22.5537501111600065,16.6376914978027344
114.294582891150014,22.5537501111600065,19.4284610748291016
114.30291622445003,22.5537501111600065,4.27007246017456055
114.311249557749989,22.5537501111600065,3.14511513710021973
114.319582891050004,22.5537501111600065,0.341697096824645996
114.427916223950035,22.5537501111600065,17.5629024505615234
114.127916225149988,22.5454167778600123,26310.900390625
114.136249558450004,22.5454167778600123,18923.693359375
114.144582891750019,22.5454167778600123,11131.666015625
114.152916225050035,22.5454167778600123,1987.0875244140625
114.161249558349994,22.5454167778600123,103.284561157226562
114.169582891650009,22.5454167778600123,166.24566650390625
114.177916224950025,22.5454167778600123,63.1160087585449219
114.186249558249983,22.5454167778600123,63.6493415832519531
114.194582891549999,22.5454167778600123,32.0970268249511719
114.202916224850014,22.5454167778600123,29.66619873046875
114.21124955815003,22.5454167778600123,115.583084106445312
114.219582891449988,22.5454167778600123,1199.6654052734375
114.227916224750004,22.5454167778600123,1804.507080078125
114.236249558050019,22.5454167778600123,1.99748778343200684
114.244582891350035,22.5454167778600123,26.0676670074462891
114.252916224649994,22.5454167778600123,15.0946712493896484
114.261249557950009,22.5454167778600123,8.77047157287597656
114.286249557849999,22.5454167778600123,11.3531513214111328
114.294582891150014,22.5454167778600123,24.0547313690185547
114.30291622445003,22.5454167778600123,9.31546783447265625
114.311249557749989,22.5454167778600123,6.44181203842163086
114.32791622435002,22.5454167778600123,1.26606559753417969
114.427916223950035,22.5454167778600123,75.329681396484375
114.436249557249994,22.5454167778600123,15.7275419235229492
114.444582890550009,22.5454167778600123,0.454812318086624146
114.086249558650024,22.537083444560011,38499.734375
114.094582891949983,22.537083444560011,32937.7578125
114.102916225249999,22.537083444560011,27156.5859375
114.111249558550014,22.537083444560011,23181.19921875
114.11958289185003,22.537083444560011,13482.6298828125
114.127916225149988,22.537083444560011,2911.719970703125
114.136249558450004,22.537083444560011,314.62310791015625
114.144582891750019,22.537083444560011,208.468414306640625
114.152916225050035,22.537083444560011,243.242843627929688
114.161249558349994,22.537083444560011,109.179153442382812
114.169582891650009,22.537083444560011,87.5104598999023438
114.177916224950025,22.537083444560011,58.0709419250488281
114.186249558249983,22.537083444560011,36.5433082580566406
114.194582891549999,22.537083444560011,64.0698318481445312
114.202916224850014,22.537083444560011,203.003677368164062
114.21124955815003,22.537083444560011,229.840499877929688
114.219582891449988,22.537083444560011,23.2872333526611328
114.227916224750004,22.537083444560011,14.8299770355224609
114.236249558050019,22.537083444560011,9.67446327209472656
114.244582891350035,22.537083444560011,13.9280452728271484
114.252916224649994,22.537083444560011,14.9090375900268555
114.261249557950009,22.537083444560011,13.603032112121582
114.269582891250025,22.537083444560011,2.10972476005554199
114.286249557849999,22.537083444560011,6.10038948059082031
114.294582891150014,22.537083444560011,15.3536949157714844
114.30291622445003,22.537083444560011,11.5204877853393555
114.311249557749989,22.537083444560011,5.5310521125793457
114.319582891050004,22.537083444560011,4.63044404983520508
114.32791622435002,22.537083444560011,1.58277952671051025
114.427916223950035,22.537083444560011,14.6076345443725586
114.436249557249994,22.537083444560011,29.1907176971435547
114.444582890550009,22.537083444560011,0.939292192459106445
114.086249558650024,22.5287501112600097,4590.49462890625
114.094582891949983,22.5287501112600097,210.445083618164062
114.102916225249999,22.5287501112600097,721.83319091796875
114.111249558550014,22.5287501112600097,5284.3408203125
114.11958289185003,22.5287501112600097,805.41802978515625
114.127916225149988,22.5287501112600097,355.3427734375
114.136249558450004,22.5287501112600097,157.15777587890625
114.144582891750019,22.5287501112600097,140.649627685546875
114.152916225050035,22.5287501112600097,330.25115966796875
114.161249558349994,22.5287501112600097,412.018890380859375
