month_id,year,month,month_label,cold_days,station,data_status,source
2015-11,2015,11,Nov,0,HKO,REAL,Hong Kong Observatory Headquarters
2015-12,2015,12,Dec,2,HKO,REAL,Hong Kong Observatory Headquarters
2016-01,2016,1,Jan,7,HKO,REAL,Hong Kong Observatory Headquarters
2016-02,2016,2,Feb,10,HKO,REAL,Hong Kong Observatory Headquarters
2016-03,2016,3,Mar,3,HKO,REAL,Hong Kong Observatory Headquarters
2016-04,2016,4,Apr,0,HKO,REAL,Hong Kong Observatory Headquarters
2016-05,2016,5,May,0,HKO,REAL,Hong Kong Observatory Headquarters
2016-06,2016,6,Jun,0,HKO,REAL,Hong Kong Observatory Headquarters
2016-07,2016,7,Jul,0,HKO,REAL,Hong Kong Observatory Headquarters
2016-08,2016,8,Aug,0,HKO,REAL,Hong Kong Observatory Headquarters
2016-09,2016,9,Sep,0,HKO,REAL,Hong Kong Observatory Headquarters
2016-10,2016,10,Oct,0,HKO,REAL,Hong Kong Observatory Headquarters
2016-11,2016,11,Nov,0,HKO,REAL,Hong Kong Observatory Headquarters
2016-12,2016,12,Dec,1,HKO,REAL,Hong Kong Observatory Headquarters
2017-01,2017,1,Jan,0,HKO,REAL,Hong Kong Observatory Headquarters
2017-02,2017,2,Feb,6,HKO,REAL,Hong Kong Observatory Headquarters
2017-03,2017,3,Mar,0,HKO,REAL,Hong Kong Observatory Headquarters
2017-04,2017,4,Apr,0,HKO,REAL,Hong Kong Observatory Headquarters
2017-05,2017,5,May,0,HKO,REAL,Hong Kong Observatory Headquarters
2017-06,2017,6,Jun,0,HKO,REAL,Hong Kong Observatory Headquarters
2017-07,2017,7,Jul,0,HKO,REAL,Hong Kong Observatory Headquarters
2017-08,2017,8,Aug,0,HKO,REAL,Hong Kong Observatory Headquarters
2017-09,2017,9,Sep,0,HKO,REAL,Hong Kong Observatory Headquarters
2017-10,2017,10,Oct,0,HKO,REAL,Hong Kong Observatory Headquarters
2017-11,2017,11,Nov,0,HKO,REAL,Hong Kong Observatory Headquarters
2017-12,2017,12,Dec,3,HKO,REAL,Hong Kong Observatory Headquarters
2018-01,2018,1,Jan,9,HKO,REAL,Hong Kong Observatory Headquarters
2018-02,2018,2,Feb,9,HKO,REAL,Hong Kong Observatory Headquarters
2018-03,2018,3,Mar,1,HKO,REAL,Hong Kong Observatory Headquarters
2018-04,2018,4,Apr,0,HKO,REAL,Hong Kong Observatory Headquarters
2018-05,2018,5,May,0,HKO,REAL,Hong Kong Observatory Headquarters
2018-06,2018,6,Jun,0,HKO,REAL,Hong Kong Observatory Headquarters
2018-07,2018,7,Jul,0,HKO,REAL,Hong Kong Observatory Headquarters
2018-08,2018,8,Aug,0,HKO,REAL,Hong Kong Observatory Headquarters
2018-09,2018,9,Sep,0,HKO,REAL,Hong Kong Observatory Headquarters
2018-10,2018,10,Oct,0,HKO,REAL,Hong Kong Observatory Headquarters
2018-11,2018,11,Nov,0,HKO,REAL,Hong Kong Observatory Headquarters
2018-12,2018,12,Dec,2,HKO,REAL,Hong Kong Observatory Headquarters
2019-01,2019,1,Jan,1,HKO,REAL,Hong Kong Observatory Headquarters
2019-02,2019,2,Feb,0,HKO,REAL,Hong Kong Observatory Headquarters
2019-03,2019,3,Mar,0,HKO,REAL,Hong Kong Observatory Headquarters
2019-04,2019,4,Apr,0,HKO,REAL,Hong Kong Observatory Headquarters
2019-05,2019,5,May,0,HKO,REAL,Hong Kong Observatory Headquarters
2019-06,2019,6,Jun,0,HKO,REAL,Hong Kong Observatory Headquarters
2019-07,2019,7,Jul,0,HKO,REAL,Hong Kong Observatory Headquarters
2019-08,2019,8,Aug,0,HKO,REAL,Hong Kong Observatory Headquarters
2019-09,2019,9,Sep,0,HKO,REAL,Hong Kong Observatory Headquarters
2019-10,2019,10,Oct,0,HKO,REAL,Hong Kong Observatory Headquarters
2019-11,2019,11,Nov,0,HKO,REAL,Hong Kong Observatory Headquarters
2019-12,2019,12,Dec,0,HKO,REAL,Hong Kong Observatory Headquarters
2020-01,2020,1,Jan,5,HKO,REAL,Hong Kong Observatory Headquarters
2020-02,2020,2,Feb,3,HKO,REAL,Hong Kong Observatory Headquarters
2020-03,2020,3,Mar,0,HKO,REAL,Hong Kong Observatory Headquarters
2020-04,2020,4,Apr,0,HKO,REAL,Hong Kong Observatory Headquarters
2020-05,2020,5,May,0,HKO,REAL,Hong Kong Observatory Headquarters
2020-06,2020,6,Jun,0,HKO,REAL,Hong Kong Observatory Headquarters
2020-07,2020,7,Jul,0,HKO,REAL,Hong Kong Observatory Headquarters
2020-08,2020,8,Aug,0,HKO,REAL,Hong Kong Observatory Headquarters
2020-09,2020,9,Sep,0,HKO,REAL,Hong Kong Observatory Headquarters
2020-10,2020,10,Oct,0,HKO,REAL,Hong Kong Observatory Headquarters
2020-11,2020,11,Nov,0,HKO,REAL,Hong Kong Observatory Headquarters
2020-12,2020,12,Dec,3,HKO,REAL,Hong Kong Observatory Headquarters
2021-01,2021,1,Jan,11,HKO,REAL,Hong Kong Observatory Headquarters
2021-02,2021,2,Feb,0,HKO,REAL,Hong Kong Observatory Headquarters
2021-03,2021,3,Mar,0,HKO,REAL,Hong Kong Observatory Headquarters
2021-04,2021,4,Apr,0,HKO,REAL,Hong Kong Observatory Headquarters
2021-05,2021,5,May,0,HKO,REAL,Hong Kong Observatory Headquarters
2021-06,2021,6,Jun,0,HKO,REAL,Hong Kong Observatory Headquarters
2021-07,2021,7,Jul,0,HKO,REAL,Hong Kong Observatory Headquarters
2021-08,2021,8,Aug,0,HKO,REAL,Hong Kong Observatory Headquarters
2021-09,2021,9,Sep,0,HKO,REAL,Hong Kong Observatory Headquarters
2021-10,2021,10,Oct,0,HKO,REAL,Hong Kong Observatory Headquarters
2021-11,2021,11,Nov,0,HKO,REAL,Hong Kong Observatory Headquarters
2021-12,2021,12,Dec,2,HKO,REAL,Hong Kong Observatory Headquarters
2022-01,2022,1,Jan,0,HKO,REAL,Hong Kong Observatory Headquarters
2022-02,2022,2,Feb,8,HKO,REAL,Hong Kong Observatory Headquarters
2022-03,2022,3,Mar,0,HKO,REAL,Hong Kong Observatory Headquarters
2022-04,2022,4,Apr,0,HKO,REAL,Hong Kong Observatory Headquarters
2022-05,2022,5,May,0,HKO,REAL,Hong Kong Observatory Headquarters
2022-06,2022,6,Jun,0,HKO,REAL,Hong Kong Observatory Headquarters
2022-07,2022,7,Jul,0,HKO,REAL,Hong Kong Observatory Headquarters
2022-08,2022,8,Aug,0,HKO,REAL,Hong Kong Observatory Headquarters
2022-09,2022,9,Sep,0,HKO,REAL,Hong Kong Observatory Headquarters
2022-10,2022,10,Oct,0,HKO,REAL,Hong Kong Observatory Headquarters
2022-11,2022,11,Nov,0,HKO,REAL,Hong Kong Observatory Headquarters
2022-12,2022,12,Dec,5,HKO,REAL,Hong Kong Observatory Headquarters
2023-01,2023,1,Jan,8,HKO,REAL,Hong Kong Observatory Headquarters
2023-02,2023,2,Feb,0,HKO,REAL,Hong Kong Observatory Headquarters
2023-03,2023,3,Mar,0,HKO,REAL,Hong Kong Observatory Headquarters
2023-04,2023,4,Apr,0,HKO,REAL,Hong Kong Observatory Headquarters
2023-05,2023,5,May,0,HKO,REAL,Hong Kong Observatory Headquarters
2023-06,2023,6,Jun,0,HKO,REAL,Hong Kong Observatory Headquarters
2023-07,2023,7,Jul,0,HKO,REAL,Hong Kong Observatory Headquarters
2023-08,2023,8,Aug,0,HKO,REAL,Hong Kong Observatory Headquarters
2023-09,2023,9,Sep,0,HKO,REAL,Hong Kong Observatory Headquarters
2023-10,2023,10,Oct,0,HKO,REAL,Hong Kong Observatory Headquarters
2023-11,2023,11,Nov,0,HKO,REAL,Hong Kong Observatory Headquarters
2023-12,2023,12,Dec,6,HKO,REAL,Hong Kong Observatory Headquarters
