"timestamp","status","message","run_mode","n_reps","n_workers","master_seed","data_status","scenario_id","n_rows","admission_decision","all_gates_passed","design_version"
"2026-08-10 10:32:57.5581","scenario_complete","Finished CORE_36","pilot",2,2,20260810,"SYNTHETIC_CALIBRATION","CORE_36",10,"",,""
"2026-08-10 10:32:58.392625","scenario_complete","Finished EDGE_depletion_off","pilot",2,2,20260810,"SYNTHETIC_CALIBRATION","EDGE_depletion_off",10,"",,""
"2026-08-10 10:32:59.367359","scenario_complete","Finished EDGE_covid_off","pilot",2,2,20260810,"SYNTHETIC_CALIBRATION","EDGE_covid_off",10,"",,""
"2026-08-10 10:33:00.198722","scenario_complete","Finished EDGE_od_off","pilot",2,2,20260810,"SYNTHETIC_CALIBRATION","EDGE_od_off",10,"",,""
"2026-08-10 10:33:00.98851","scenario_complete","Finished EDGE_od_high","pilot",2,2,20260810,"SYNTHETIC_CALIBRATION","EDGE_od_high",10,"",,""
"2026-08-10 10:33:01.885543","scenario_complete","Finished EDGE_stress_AR_dep_covid_mod","pilot",2,2,20260810,"SYNTHETIC_CALIBRATION","EDGE_stress_AR_dep_covid_mod",10,"",,""
"2026-08-10 10:33:02.742646","scenario_complete","Finished EDGE_small_lag21","pilot",2,2,20260810,"SYNTHETIC_CALIBRATION","EDGE_small_lag21",10,"",,""
"2026-08-10 10:33:02.797311","complete","Calibration complete. admission_decision=FAIL_METHODS_FEASIBILITY_ONLY; all_passed=FALSE","pilot",2,2,20260810,"SYNTHETIC_CALIBRATION","",,"FAIL_METHODS_FEASIBILITY_ONLY",FALSE,""
"2026-08-10 10:34:07.448809","start","Calibration start mode= pilot","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","",,"",,""
"2026-08-10 10:34:14.627438","scenario_complete","Finished CORE_01","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_01",500,"",,""
"2026-08-10 10:34:21.524152","scenario_complete","Finished CORE_02","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_02",500,"",,""
"2026-08-10 10:34:28.139388","scenario_complete","Finished CORE_03","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_03",500,"",,""
"2026-08-10 10:34:34.866313","scenario_complete","Finished CORE_04","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_04",500,"",,""
"2026-08-10 10:34:41.742974","scenario_complete","Finished CORE_05","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_05",500,"",,""
"2026-08-10 10:34:48.655552","scenario_complete","Finished CORE_06","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_06",500,"",,""
"2026-08-10 10:34:55.426341","scenario_complete","Finished CORE_07","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_07",500,"",,""
"2026-08-10 10:35:02.206163","scenario_complete","Finished CORE_08","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_08",500,"",,""
"2026-08-10 10:35:08.981058","scenario_complete","Finished CORE_09","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_09",500,"",,""
"2026-08-10 10:35:15.7377","scenario_complete","Finished CORE_10","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_10",500,"",,""
"2026-08-10 10:35:22.524933","scenario_complete","Finished CORE_11","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_11",500,"",,""
"2026-08-10 10:35:29.284177","scenario_complete","Finished CORE_12","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_12",500,"",,""
"2026-08-10 10:35:36.158237","scenario_complete","Finished CORE_13","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_13",500,"",,""
"2026-08-10 10:35:42.852","scenario_complete","Finished CORE_14","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_14",500,"",,""
"2026-08-10 10:35:49.729489","scenario_complete","Finished CORE_15","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_15",500,"",,""
"2026-08-10 10:35:56.38774","scenario_complete","Finished CORE_16","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_16",500,"",,""
"2026-08-10 10:36:03.115634","scenario_complete","Finished CORE_17","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_17",500,"",,""
"2026-08-10 10:36:09.734852","scenario_complete","Finished CORE_18","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_18",500,"",,""
"2026-08-10 10:36:16.551603","scenario_complete","Finished CORE_19","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_19",500,"",,""
"2026-08-10 10:36:23.014552","scenario_complete","Finished CORE_20","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_20",500,"",,""
"2026-08-10 10:36:29.556453","scenario_complete","Finished CORE_21","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_21",500,"",,""
"2026-08-10 10:36:36.536759","scenario_complete","Finished CORE_22","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_22",500,"",,""
"2026-08-10 10:36:43.37917","scenario_complete","Finished CORE_23","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_23",500,"",,""
"2026-08-10 10:36:50.188817","scenario_complete","Finished CORE_24","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_24",500,"",,""
"2026-08-10 10:36:56.812459","scenario_complete","Finished CORE_25","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_25",500,"",,""
"2026-08-10 10:37:03.267139","scenario_complete","Finished CORE_26","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_26",500,"",,""
"2026-08-10 10:37:09.629515","scenario_complete","Finished CORE_27","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_27",500,"",,""
"2026-08-10 10:37:16.104811","scenario_complete","Finished CORE_28","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_28",500,"",,""
"2026-08-10 10:37:22.349957","scenario_complete","Finished CORE_29","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_29",500,"",,""
"2026-08-10 10:37:28.733278","scenario_complete","Finished CORE_30","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_30",500,"",,""
"2026-08-10 10:37:35.028074","scenario_complete","Finished CORE_31","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_31",500,"",,""
"2026-08-10 10:37:41.585467","scenario_complete","Finished CORE_32","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_32",500,"",,""
"2026-08-10 10:37:47.947278","scenario_complete","Finished CORE_33","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_33",500,"",,""
"2026-08-10 10:37:54.612909","scenario_complete","Finished CORE_34","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_34",500,"",,""
"2026-08-10 10:38:00.871443","scenario_complete","Finished CORE_35","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_35",500,"",,""
"2026-08-10 10:38:07.038133","scenario_complete","Finished CORE_36","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","CORE_36",500,"",,""
"2026-08-10 10:38:13.485983","scenario_complete","Finished EDGE_depletion_off","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","EDGE_depletion_off",500,"",,""
"2026-08-10 10:38:20.012481","scenario_complete","Finished EDGE_covid_off","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","EDGE_covid_off",500,"",,""
"2026-08-10 10:38:26.454156","scenario_complete","Finished EDGE_od_off","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","EDGE_od_off",500,"",,""
"2026-08-10 10:38:33.077057","scenario_complete","Finished EDGE_od_high","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","EDGE_od_high",500,"",,""
"2026-08-10 10:38:39.56798","scenario_complete","Finished EDGE_stress_AR_dep_covid_mod","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","EDGE_stress_AR_dep_covid_mod",500,"",,""
"2026-08-10 10:38:46.041752","scenario_complete","Finished EDGE_small_lag21","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","EDGE_small_lag21",500,"",,""
"2026-08-10 10:38:46.253461","complete","Calibration complete. admission_decision=FAIL_METHODS_FEASIBILITY_ONLY; all_passed=FALSE","pilot",100,4,20260810,"SYNTHETIC_CALIBRATION","",,"FAIL_METHODS_FEASIBILITY_ONLY",FALSE,""
"2026-08-10 10:43:53.188028","start","Calibration start mode= pilot","pilot",10,4,20260810,"SYNTHETIC_CALIBRATION","",,"",,"F1.1"
"2026-08-10 10:43:55.292104","scenario_complete","Finished CORE_01","pilot",10,4,20260810,"SYNTHETIC_CALIBRATION","CORE_01",50,"",,"F1.1"
"2026-08-10 10:43:57.058518","scenario_complete","Finished CORE_02","pilot",10,4,20260810,"SYNTHETIC_CALIBRATION","CORE_02",50,"",,"F1.1"
"2026-08-10 10:43:58.945463","scenario_complete","Finished CORE_03","pilot",10,4,20260810,"SYNTHETIC_CALIBRATION","CORE_03",50,"",,"F1.1"
