"month_id","year","month","n_events","outcome","care_setting","cohort","event_definition","data_status","source_file","source_sha256","stroke_type","age_group","sex"
"2014-10",2014,10,255,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2014-11",2014,11,250,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2014-12",2014,12,300,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2015-01",2015,1,359,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2015-02",2015,2,278,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2015-03",2015,3,287,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2015-04",2015,4,213,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2015-05",2015,5,248,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2015-06",2015,6,216,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2015-07",2015,7,216,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
