"month_id","HM08","HM15","HM17","HM19","HM27","HM32","CM03","CM08","CM15","CM05","CM30","HM23","HM23_event_starts"
"2021-03",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-04",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-05",0,0,1,1,1,1,0,0,0,0,0,1,1
"2021-06",0,0,0,0,0,1,0,0,0,0,0,0,0
"2021-07",1,1,1,1,1,1,0,0,0,0,0,0,0
"2021-08",0,0,0,0,0,1,0,0,0,0,0,0,0
"2021-09",1,1,1,0,1,1,0,0,0,0,0,1,1
"2021-10",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-11",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-12",0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-01",0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-02",0,0,0,0,0,0,1,1,1,0,1,0,0
"2022-03",0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-04",0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-05",0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-06",0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-07",1,1,1,1,1,1,0,0,0,0,0,1,1
"2022-08",0,0,0,0,0,1,0,0,0,0,0,0,0
"2022-09",1,1,1,0,1,1,0,0,0,0,0,1,1
"2022-10",0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-11",0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-12",0,0,0,0,0,0,1,0,1,0,1,0,0
"2023-01",0,0,0,0,0,0,0,0,1,0,1,0,0
"2023-02",0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-03",0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-04",0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05",0,0,0,0,0,1,0,0,0,0,0,0,0
"2023-06",0,0,0,0,0,1,0,0,0,0,0,0,0
"2023-07",1,1,1,1,1,1,0,0,0,0,0,0,0
"2023-08",1,0,0,1,1,1,0,0,0,0,0,0,0
"2023-09",0,0,1,0,1,1,0,0,0,0,0,1,1
"2023-10",0,0,0,0,1,1,0,0,0,0,0,0,0
"2023-11",0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-12",0,0,0,0,0,0,0,0,1,0,1,0,0
