"month_id","year","month","n_events","outcome","care_setting","cohort","event_definition","data_status","source_file","source_sha256","stroke_type","age_group","sex"
"2014-09",2014,9,1310,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2014-10",2014,10,1265,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2014-11",2014,11,1361,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2014-12",2014,12,1491,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2015-01",2015,1,1665,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2015-02",2015,2,1273,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2015-03",2015,3,1469,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2015-04",2015,4,1231,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2015-05",2015,5,1286,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2015-06",2015,6,1255,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2015-07",2015,7,1217,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2015-08",2015,8,1212,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
