month_id,flu_indicator,flu_ili_fmc_mean,n_weeks,flu_metric,source
2019-10,0.015625,2.225,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2019-11,0.015875,2.0,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2019-12,0.0539,2.96,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2020-01,0.171925,5.75,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2020-02,0.02075,1.725,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2020-03,0.00266,1.3,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2020-04,0.000125,0.775,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2020-05,0.0001,0.6799999999999999,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2020-06,0.0,0.7,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2020-07,0.0,0.85,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2020-08,0.0,0.6,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2020-09,0.000175,0.5,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2020-10,0.0011,0.625,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2020-11,0.00198,1.02,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2020-12,0.002275,0.575,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2021-01,0.00038,0.48,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2021-02,0.0001,0.625,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2021-03,0.000125,0.45,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2021-04,0.000125,0.5,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2021-05,0.0,0.5399999999999999,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2021-06,0.0,0.525,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2021-07,0.0002,0.45,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2021-08,0.0,0.52,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2021-09,0.000175,0.45,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2021-10,0.00394,0.52,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2021-11,0.004825,0.8500000000000001,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2021-12,0.001325,0.775,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2022-01,0.00014,0.6,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2022-02,0.0,2.2,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2022-03,0.0,1.0,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2022-04,0.0,0.175,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2022-05,0.00076,0.33999999999999997,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2022-06,0.00335,0.8,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2022-07,0.00106,0.52,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2022-08,0.0013,0.45,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2022-09,0.00015,0.4,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2022-10,0.00368,0.62,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
