month_id,flu_indicator
2013-12,0.1238
2014-01,0.2242
2014-02,0.291175
2014-03,0.18622
2014-04,0.086575
2014-05,0.05325
2014-06,0.10608
2014-07,0.0827
2014-08,0.03688
2014-09,0.018675
2014-10,0.006675
2014-11,0.00736
2014-12,0.077475
2015-01,0.3144
2015-02,0.2729
2015-03,0.1552
2015-04,0.0888
2015-05,0.09048
2015-06,0.23885
2015-07,0.12865
2015-08,0.04954
2015-09,0.017075
2015-10,0.008825
2015-11,0.00984
2015-12,0.018625
2016-01,0.08226
2016-02,0.242725
2016-03,0.196625
2016-04,0.15487499999999998
2016-05,0.07338
2016-06,0.03335
2016-07,0.03746
2016-08,0.05845
2016-09,0.121625
2016-10,0.0977
2016-11,0.06935
2016-12,0.052625000000000005
2017-01,0.0792
2017-02,0.090325
2017-03,0.070625
2017-04,0.08042
2017-05,0.137225
2017-06,0.20752500000000002
2017-07,0.35112
2017-08,0.110125
2017-09,0.028875
2017-10,0.02026
2017-11,0.0217
2017-12,0.07028
2018-01,0.22089999999999999
2018-02,0.24059999999999998
2018-03,0.11015
2018-04,0.02762
2018-05,0.013600000000000001
2018-06,0.01165
2018-07,0.02274
2018-08,0.023575
2018-09,0.03182
2018-10,0.022175
2018-11,0.04025
2018-12,0.11498
2019-01,0.253175
2019-02,0.14915
2019-03,0.09616
2019-04,0.053075
2019-05,0.062450000000000006
2019-06,0.07930000000000001
2019-07,0.073625
2019-08,0.034175
2019-09,0.02676
2019-10,0.015625
2019-11,0.015875
2019-12,0.0539
2020-01,0.171925
2020-02,0.02075
2020-03,0.00266
2020-04,0.000125
2020-05,0.0001
2020-06,0.0
2020-07,0.0
2020-08,0.0
2020-09,0.000175
2020-10,0.0011
2020-11,0.00198
2020-12,0.002275
2021-01,0.00038
2021-02,0.0001
2021-03,0.000125
2021-04,0.000125
2021-05,0.0
2021-06,0.0
2021-07,0.0002
2021-08,0.0
2021-09,0.000175
2021-10,0.00394
2021-11,0.004825
2021-12,0.001325
2022-01,0.00014
2022-02,0.0
2022-03,0.0
2022-04,0.0
2022-05,0.00076
2022-06,0.00335
2022-07,0.00106
2022-08,0.0013
2022-09,0.00015
2022-10,0.00368
2022-11,0.008525
2022-12,0.005075
2023-01,0.0089
2023-02,0.008475
2023-03,0.054425
2023-04,0.14942
2023-05,0.035775
2023-06,0.0229
2023-07,0.07786
2023-08,0.1052
2023-09,0.132125
2023-10,0.07794
2023-11,0.039224999999999996
2023-12,0.06924
